                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8138,                 2.4179,                 1.9716,                0.12954,                0.20775,                0.08575,                0.04091,                 2.1099,                 11.763,                 2.4282,             0.00047303,             0.00047303,             0.00047303
                      2,                 1.9388,                   2.37,                 2.0726,                0.24517,                 0.2317,                0.19355,                 0.1055,                 2.1012,                 4.8512,                 2.3378,             0.00094466,             0.00094466,             0.00094466
                      3,                 1.9487,                 2.4236,                 2.0873,                0.23593,                0.21534,                0.17384,                0.07922,                 2.1791,                 3.5252,                 2.4666,              0.0014116,              0.0014116,              0.0014116
                      4,                 1.9002,                 2.3434,                 2.0262,                0.39548,                0.28766,                0.27215,                0.15101,                 1.7948,                 2.7435,                 1.9806,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.8352,                 2.2384,                 1.9909,                0.54631,                0.32185,                0.34475,                 0.2068,                 1.7077,                 2.2093,                 1.9341,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.7668,                 2.1465,                 1.9362,                0.50184,                0.37749,                0.37088,                0.20806,                 1.7454,                 2.0097,                 1.9306,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.7467,                 2.0603,                 1.9195,                0.50905,                0.39857,                0.40902,                 0.2486,                 1.6217,                 1.9973,                 1.8357,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.7016,                 2.0145,                 1.8755,                0.61247,                0.38386,                0.44496,                0.26653,                 1.6158,                 1.7262,                 1.7866,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.6582,                 1.9391,                  1.845,                0.47773,                0.42424,                 0.4107,                0.22107,                 1.7482,                 2.0136,                 1.9139,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.6883,                  1.934,                 1.8473,                0.46511,                0.43326,                0.41899,                 0.2409,                 1.6385,                 2.1484,                 1.7938,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.6331,                 1.8531,                 1.8021,                0.63025,                0.44411,                0.46855,                0.26694,                  1.629,                 1.9023,                 1.7628,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.6484,                 1.8482,                 1.8191,                0.57583,                 0.4706,                0.49028,                0.28346,                 1.6243,                 1.6168,                 1.7676,              0.0013512,              0.0013512,              0.0013512
                     13,                  1.617,                 1.8042,                 1.7933,                0.58743,                0.48393,                 0.5043,                0.29264,                  1.523,                 1.5755,                 1.7201,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.6161,                 1.8061,                 1.7972,                0.59724,                0.47346,                0.48672,                 0.2967,                 1.4964,                  1.643,                 1.7203,               0.001337,               0.001337,               0.001337
