                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1515,                  2.746,                 2.3252,                0.19578,                0.23074,                 0.1025,                 0.0392,                 2.6597,                    inf,                  4.833,               0.070208,              0.0033102,              0.0033102
                      2,                 2.0126,                 2.3402,                 2.1505,                0.37599,                0.32343,                0.27464,                0.14997,                 1.8952,                 6.0484,                 2.2828,               0.040143,              0.0065777,              0.0065777
                      3,                 1.9425,                   2.24,                 2.0832,                0.74951,                0.28519,                0.34366,                0.16007,                 2.0349,                 4.1242,                 2.3247,               0.010011,              0.0097793,              0.0097793
                      4,                 1.8668,                 2.0936,                 1.9966,                0.27438,                0.41014,                0.30412,                 0.1568,                 1.8989,                 2.4658,                  2.182,               0.009703,               0.009703,               0.009703
                      5,                 1.8314,                 2.0201,                 1.9662,                0.41209,                0.46409,                0.38733,                0.22002,                 1.7505,                 2.0938,                 1.9383,               0.009604,               0.009604,               0.009604
                      6,                   1.76,                 1.9394,                 1.8912,                0.36875,                0.49237,                0.42248,                0.24955,                 1.6356,                  1.869,                 1.7911,               0.009505,               0.009505,               0.009505
                      7,                 1.7366,                 1.8687,                 1.8787,                0.50202,                0.44649,                0.39086,                0.21637,                 1.7587,                 1.9846,                 1.8906,               0.009406,               0.009406,               0.009406
                      8,                 1.7268,                 1.8284,                 1.8505,                0.50919,                0.49149,                0.49232,                0.28575,                 1.6648,                  1.661,                 1.7903,               0.009307,               0.009307,               0.009307
                      9,                 1.6713,                 1.7426,                 1.8137,                0.51189,                0.47964,                0.48903,                0.29094,                 1.6253,                 1.5819,                 1.7705,               0.009208,               0.009208,               0.009208
                     10,                 1.7001,                 1.7608,                 1.8338,                0.53139,                0.49034,                0.48856,                  0.279,                 1.6809,                 1.6335,                 1.8012,               0.009109,               0.009109,               0.009109
                     11,                 1.6402,                 1.6833,                 1.7742,                0.51075,                 0.5127,                0.48641,                0.26918,                 1.7229,                 1.6247,                 1.8515,                0.00901,                0.00901,                0.00901
                     12,                  1.644,                  1.666,                 1.7693,                0.49656,                0.49953,                0.48755,                0.28837,                 1.6888,                 1.6184,                 1.7902,               0.008911,               0.008911,               0.008911
                     13,                 1.5995,                 1.6106,                 1.7293,                0.57165,                0.49864,                0.52035,                0.31825,                 1.5836,                 1.4743,                 1.7272,               0.008812,               0.008812,               0.008812
                     14,                 1.5911,                 1.5932,                 1.7315,                0.58767,                0.49777,                0.50794,                0.29408,                 1.6536,                 1.5497,                 1.7797,               0.008713,               0.008713,               0.008713
                     15,                 1.5745,                 1.5522,                 1.7159,                0.52951,                0.51192,                0.50284,                 0.3054,                 1.5533,                 1.5598,                 1.6857,               0.008614,               0.008614,               0.008614
                     16,                 1.5572,                 1.5155,                 1.6955,                 0.6387,                0.46249,                0.51661,                0.30706,                 1.6428,                 1.5404,                 1.7573,               0.008515,               0.008515,               0.008515
                     17,                 1.5572,                 1.4854,                 1.6952,                0.59381,                0.49066,                0.51803,                0.32412,                 1.5374,                 1.4482,                 1.6701,               0.008416,               0.008416,               0.008416
                     18,                 1.5433,                 1.4824,                 1.6793,                0.61471,                0.49014,                0.52651,                 0.2993,                 1.6683,                 1.5722,                 1.7598,               0.008317,               0.008317,               0.008317
                     19,                 1.5429,                 1.4479,                 1.6771,                0.52824,                0.51374,                0.49636,                0.29918,                 1.5766,                 1.5652,                 1.6938,               0.008218,               0.008218,               0.008218
                     20,                 1.5167,                 1.4151,                 1.6526,                0.55297,                0.51587,                0.52182,                  0.313,                 1.5796,                 1.4345,                 1.7078,               0.008119,               0.008119,               0.008119
                     21,                 1.4635,                  1.355,                 1.6207,                0.57436,                0.51912,                0.52728,                0.32678,                 1.5164,                 1.4353,                 1.6659,                0.00802,                0.00802,                0.00802
                     22,                 1.4842,                  1.382,                 1.6277,                 0.5741,                 0.5301,                0.53036,                0.33204,                 1.5573,                 1.4216,                 1.6932,               0.007921,               0.007921,               0.007921
                     23,                 1.4482,                 1.3244,                 1.6179,                 0.5625,                0.54263,                0.53147,                0.29933,                 1.6844,                  1.538,                 1.7511,               0.007822,               0.007822,               0.007822
                     24,                 1.4471,                 1.3103,                 1.6114,                0.53737,                0.53229,                0.51062,                0.30395,                 1.5951,                 1.4599,                 1.6986,               0.007723,               0.007723,               0.007723
                     25,                 1.4444,                 1.2972,                 1.6045,                0.62627,                0.48544,                0.51684,                0.31234,                 1.5821,                 1.5146,                 1.6817,               0.007624,               0.007624,               0.007624
                     26,                 1.4262,                 1.2977,                 1.5932,                0.53788,                0.54077,                0.52222,                0.31811,                 1.5511,                 1.4047,                 1.6798,               0.007525,               0.007525,               0.007525
                     27,                  1.414,                  1.274,                 1.5772,                0.54976,                0.52019,                0.51871,                0.31358,                 1.5486,                 1.4659,                 1.6834,               0.007426,               0.007426,               0.007426
                     28,                 1.4148,                 1.2554,                 1.5656,                0.52948,                0.51545,                0.50382,                0.31344,                 1.5453,                 1.5029,                 1.6542,               0.007327,               0.007327,               0.007327
                     29,                 1.4014,                 1.2398,                 1.5586,                0.64743,                0.50155,                0.54002,                0.35615,                 1.4373,                 1.3421,                 1.6125,               0.007228,               0.007228,               0.007228
                     30,                 1.3791,                 1.2001,                 1.5362,                0.58552,                0.52138,                0.53203,                0.31843,                 1.6114,                  1.434,                 1.7592,               0.007129,               0.007129,               0.007129
                     31,                 1.3621,                 1.1832,                 1.5335,                0.50765,                0.55828,                 0.5212,                0.30903,                 1.5781,                 1.4448,                 1.7027,                0.00703,                0.00703,                0.00703
                     32,                 1.3549,                 1.1538,                 1.5144,                0.55752,                0.52554,                0.53657,                0.33426,                 1.5408,                 1.3907,                 1.6929,               0.006931,               0.006931,               0.006931
                     33,                 1.3414,                  1.164,                 1.5196,                0.57173,                0.53348,                0.51899,                0.33328,                 1.4809,                 1.3897,                 1.6688,               0.006832,               0.006832,               0.006832
