                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6432,                 2.7246,                 1.7582,                0.33023,                0.34522,                0.27552,                0.14917,                 1.4727,                 9.4825,                 1.8881,               0.081282,              0.0017792,              0.0017792
                      2,                 1.5278,                 2.3143,                 1.6323,                0.41289,                0.31501,                0.34431,                0.19499,                 1.4113,                 4.6069,                 1.6912,               0.062468,              0.0035483,              0.0035483
                      3,                 1.4539,                 2.1602,                 1.5634,                0.38691,                0.44357,                0.35382,                0.18421,                 1.4473,                 2.1797,                 1.5492,               0.043636,              0.0052998,              0.0052998
                      4,                 1.4236,                 2.0344,                 1.5274,                0.67365,                0.39098,                0.44191,                0.25537,                 1.2086,                 2.0415,                 1.3637,               0.024787,              0.0070337,              0.0070337
                      5,                 1.3684,                 1.9283,                 1.4833,                0.52097,                 0.4288,                0.45371,                0.28407,                 1.2043,                 1.7965,                 1.3542,              0.0085093,              0.0085093,              0.0085093
                      6,                 1.3417,                 1.8649,                 1.4575,                0.49573,                0.47231,                0.43902,                0.26155,                 1.2093,                 1.7149,                 1.3293,              0.0084666,              0.0084666,              0.0084666
                      7,                 1.2974,                 1.7211,                  1.406,                 0.5712,                0.47366,                0.48506,                0.29688,                 1.1895,                 1.5895,                 1.3131,              0.0084239,              0.0084239,              0.0084239
                      8,                 1.2698,                  1.641,                 1.3759,                0.54921,                0.49079,                0.50988,                0.31714,                 1.1571,                 1.4952,                 1.2862,              0.0083812,              0.0083812,              0.0083812
                      9,                 1.2465,                 1.6269,                 1.3511,                0.48674,                0.52832,                0.46728,                0.29301,                 1.0918,                  1.495,                 1.2389,              0.0083386,              0.0083386,              0.0083386
                     10,                 1.2286,                 1.5605,                 1.3481,                0.51781,                0.54199,                0.53474,                0.33186,                 1.1725,                 1.4128,                 1.3089,              0.0082959,              0.0082959,              0.0082959
                     11,                 1.1915,                    1.5,                  1.312,                0.59342,                0.50145,                0.51719,                0.33018,                 1.1151,                 1.3791,                 1.2701,              0.0082532,              0.0082532,              0.0082532
                     12,                 1.1959,                 1.4658,                  1.303,                0.57548,                0.53474,                0.54942,                0.34629,                 1.1196,                 1.3372,                 1.2511,              0.0082105,              0.0082105,              0.0082105
                     13,                 1.1763,                 1.4148,                 1.2897,                 0.6156,                0.51753,                0.53211,                0.34935,                 1.0954,                 1.3824,                 1.2264,              0.0081679,              0.0081679,              0.0081679
                     14,                 1.1688,                  1.402,                 1.2826,                0.56739,                0.54214,                0.55231,                0.34744,                 1.1247,                 1.3286,                 1.2566,              0.0081252,              0.0081252,              0.0081252
                     15,                 1.1342,                 1.3558,                 1.2594,                0.60442,                 0.5324,                0.55952,                0.34698,                  1.149,                  1.288,                 1.2662,              0.0080825,              0.0080825,              0.0080825
                     16,                 1.1157,                 1.3067,                 1.2439,                0.68025,                0.50512,                0.55292,                0.34358,                 1.1553,                 1.3805,                 1.2733,              0.0080398,              0.0080398,              0.0080398
                     17,                 1.1068,                 1.2831,                 1.2352,                0.59288,                0.51822,                0.53685,                0.33963,                 1.1575,                 1.3369,                 1.2851,              0.0079971,              0.0079971,              0.0079971
                     18,                 1.0894,                 1.2313,                 1.2117,                0.58426,                0.51666,                0.53962,                0.33901,                 1.1374,                 1.2866,                 1.2783,              0.0079545,              0.0079545,              0.0079545
                     19,                 1.0864,                 1.2261,                 1.2087,                0.60835,                0.53825,                0.55123,                0.35414,                   1.08,                 1.2948,                 1.2407,              0.0079118,              0.0079118,              0.0079118
                     20,                 1.0525,                 1.1796,                 1.1898,                0.60043,                0.53974,                 0.5584,                0.33109,                  1.222,                 1.3194,                 1.3042,              0.0078691,              0.0078691,              0.0078691
                     21,                   1.05,                 1.1594,                 1.1838,                0.59909,                0.54129,                0.55272,                0.32577,                 1.2027,                 1.3298,                 1.3053,              0.0078264,              0.0078264,              0.0078264
                     22,                  1.032,                 1.1266,                 1.1696,                0.63547,                0.48639,                 0.5342,                0.33817,                  1.141,                 1.3373,                 1.2755,              0.0077837,              0.0077837,              0.0077837
                     23,                 1.0174,                 1.1158,                 1.1554,                0.60504,                0.53356,                0.55111,                0.35211,                 1.1131,                 1.2583,                 1.2518,              0.0077411,              0.0077411,              0.0077411
                     24,                 1.0038,                 1.0841,                 1.1512,                 0.5941,                0.53398,                0.55003,                0.34226,                 1.1464,                 1.2753,                 1.2685,              0.0076984,              0.0076984,              0.0076984
                     25,                  1.007,                 1.0833,                 1.1446,                0.58538,                0.55633,                0.54823,                0.33866,                 1.1391,                 1.2882,                 1.2588,              0.0076557,              0.0076557,              0.0076557
                     26,                0.99227,                  1.059,                 1.1274,                0.62556,                0.53705,                0.55753,                0.36176,                 1.0838,                 1.2662,                 1.2317,               0.007613,               0.007613,               0.007613
