                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0246,                 4.1114,                 3.1866,                0.00258,                 0.2037,                0.00167,                0.00048,                 3.3405,                 8.6718,                 3.8968,               0.070039,               0.003329,               0.003329
                      2,                 2.8079,                 4.0301,                 3.0874,                0.00448,                0.22389,                0.00323,                0.00098,                 3.0648,                  4.843,                 3.5152,               0.039973,              0.0065964,              0.0065964
                      3,                 2.7318,                 3.9336,                 2.9691,                0.00418,                0.32437,                0.00482,                0.00131,                 2.9532,                  11.35,                 3.6415,              0.0098408,              0.0097978,              0.0097978
                      4,                 2.6909,                 3.8042,                 2.9329,                 0.3399,                0.12619,                 0.0063,                0.00198,                 2.8731,                 5.1672,                 3.2047,               0.009703,               0.009703,               0.009703
                      5,                 2.6041,                 3.7654,                 2.8476,                0.68519,                0.06138,                0.01041,                 0.0026,                 3.2044,                 8.4671,                 6.9251,               0.009604,               0.009604,               0.009604
                      6,                 2.5878,                 3.7124,                 2.8419,                0.35115,                0.08677,                0.00927,                0.00319,                 2.6898,                 5.8787,                  3.067,               0.009505,               0.009505,               0.009505
                      7,                 2.5411,                 3.6046,                 2.7564,                0.34447,                0.12328,                 0.0111,                0.00412,                 2.5571,                 24.762,                 2.9925,               0.009406,               0.009406,               0.009406
                      8,                 2.5234,                 3.5945,                 2.7724,                0.73778,                0.03386,                0.02695,                0.00991,                 2.5219,                 10.566,                 2.9506,               0.009307,               0.009307,               0.009307
                      9,                 2.4343,                 3.5402,                 2.7105,                0.70935,                0.07196,                0.02692,                0.01087,                   2.42,                  11.58,                 2.7941,               0.009208,               0.009208,               0.009208
                     10,                 2.4118,                 3.5381,                 2.6378,                0.38607,                0.08466,                0.02716,                0.01002,                 2.4449,                 5.6774,                 2.8652,               0.009109,               0.009109,               0.009109
                     11,                 2.4589,                 3.5015,                 2.6787,                0.75333,                0.02751,                0.02452,                0.01011,                 2.3814,                 19.908,                 2.7481,                0.00901,                0.00901,                0.00901
                     12,                 2.4275,                 3.4971,                 2.6407,                0.70368,                0.06243,                0.03142,                0.01219,                 2.3809,                 7.7255,                 2.6997,               0.008911,               0.008911,               0.008911
                     13,                 2.3717,                 3.5075,                 2.6293,                0.71106,                0.07407,                 0.0272,                0.01095,                 2.4673,                  6.208,                  2.888,               0.008812,               0.008812,               0.008812
                     14,                 2.3795,                 3.4746,                  2.631,                0.71996,                 0.0582,                0.03249,                0.01322,                  2.309,                 9.8875,                 2.6568,               0.008713,               0.008713,               0.008713
                     15,                 2.3678,                 3.4889,                  2.611,                  0.689,                 0.0963,                 0.0214,                0.00875,                 2.3274,                 25.936,                 2.7421,               0.008614,               0.008614,               0.008614
                     16,                 2.3501,                 3.4419,                  2.576,                0.70405,                0.09312,                0.02994,                0.01168,                 2.3386,                 10.038,                 2.7058,               0.008515,               0.008515,               0.008515
                     17,                 2.3543,                 3.3608,                 2.5555,                0.73133,                0.06138,                0.03667,                0.01572,                 2.2702,                 10.761,                 2.6741,               0.008416,               0.008416,               0.008416
                     18,                 2.3358,                 3.3906,                 2.5522,                0.39399,                0.11799,                0.04036,                0.01848,                 2.1953,                 7.8696,                 2.5586,               0.008317,               0.008317,               0.008317
                     19,                 2.3064,                 3.3191,                  2.555,                0.37112,                0.08677,                0.02601,                0.01065,                 2.2694,                 7.3037,                 2.6803,               0.008218,               0.008218,               0.008218
                     20,                 2.2662,                 3.2901,                 2.5297,                0.17568,                0.18562,                0.04183,                0.01762,                 2.2135,                 8.4282,                 2.5906,               0.008119,               0.008119,               0.008119
                     21,                 2.3074,                 3.3142,                 2.5287,                0.09003,                0.24918,                0.03369,                  0.014,                 2.2892,                 16.576,                 2.6621,                0.00802,                0.00802,                0.00802
                     22,                 2.2642,                 3.3133,                 2.5064,                0.06686,                0.22015,                 0.0506,                0.02151,                 2.1808,                 7.8061,                 2.5272,               0.007921,               0.007921,               0.007921
                     23,                 2.3178,                 3.2799,                 2.5485,                0.36741,                0.23016,                0.04067,                0.01748,                 2.2162,                 11.562,                 2.6169,               0.007822,               0.007822,               0.007822
                     24,                 2.2585,                 3.2747,                 2.5053,                 0.2365,                0.29911,                0.03985,                0.01841,                  2.166,                 12.171,                 2.5137,               0.007723,               0.007723,               0.007723
                     25,                 2.2448,                 3.2568,                 2.4886,                 0.1378,                 0.2285,                0.05404,                0.02475,                 2.1364,                 7.3816,                 2.4986,               0.007624,               0.007624,               0.007624
                     26,                 2.2465,                 3.2621,                 2.4874,                0.11252,                0.19986,                0.05698,                0.02466,                 2.2103,                 6.2327,                 2.5785,               0.007525,               0.007525,               0.007525
                     27,                 2.2314,                 3.1718,                 2.4649,                0.40077,                0.09868,                0.05528,                0.02568,                 2.1899,                 6.1434,                 2.5093,               0.007426,               0.007426,               0.007426
                     28,                 2.2278,                 3.2214,                 2.4562,                0.37812,                0.12196,                 0.0394,                0.01675,                 2.1845,                 10.418,                  2.568,               0.007327,               0.007327,               0.007327
                     29,                 2.2125,                 3.1767,                 2.4659,                 0.0953,                0.25146,                0.04166,                0.01846,                 2.1414,                 12.309,                 2.5516,               0.007228,               0.007228,               0.007228
                     30,                 2.1927,                 3.1505,                 2.4546,                0.09999,                 0.2319,                0.04303,                 0.0197,                 2.1053,                 12.251,                 2.4403,               0.007129,               0.007129,               0.007129
                     31,                 2.2113,                 3.1585,                 2.4411,                0.08479,                0.18828,                 0.0605,                 0.0267,                 2.1266,                 4.9691,                 2.4667,                0.00703,                0.00703,                0.00703
                     32,                 2.1734,                 3.1634,                 2.4112,                0.17238,                0.21908,                0.06297,                0.03118,                 2.0792,                 6.1131,                 2.4525,               0.006931,               0.006931,               0.006931
                     33,                 2.1769,                 3.1356,                 2.4135,                0.13382,                0.12934,                0.07069,                0.03509,                  2.088,                 3.4576,                 2.4567,               0.006832,               0.006832,               0.006832
                     34,                 2.2157,                 3.1305,                 2.4421,                0.12487,                0.27464,                0.06329,                0.03082,                 2.0345,                 9.8665,                 2.4373,               0.006733,               0.006733,               0.006733
                     35,                 2.2113,                 3.0845,                 2.4401,                0.12716,                0.26522,                0.05748,                0.02667,                 2.1139,                 8.3983,                 2.4121,               0.006634,               0.006634,               0.006634
                     36,                 2.1923,                 3.1056,                 2.4066,                0.12044,                0.28512,                0.06304,                0.03021,                 2.0671,                 8.4305,                 2.4329,               0.006535,               0.006535,               0.006535
                     37,                 2.1777,                 3.1098,                 2.4082,                0.12262,                0.23953,                0.05392,                0.02472,                 2.1489,                 9.3016,                 2.4928,               0.006436,               0.006436,               0.006436
                     38,                  2.145,                 3.0666,                 2.3865,                0.14988,                0.26053,                  0.055,                0.02399,                  2.161,                 10.897,                 2.5942,               0.006337,               0.006337,               0.006337
                     39,                 2.1804,                 3.0671,                 2.4288,                0.11525,                0.25061,                0.07607,                 0.0361,                  2.065,                 6.0613,                 2.4016,               0.006238,               0.006238,               0.006238
                     40,                 2.1959,                 3.0733,                 2.3974,                0.17426,                0.27173,                0.06665,                0.03117,                 2.0694,                 8.3574,                 2.4146,               0.006139,               0.006139,               0.006139
                     41,                  2.126,                 2.9771,                  2.358,                0.12609,                0.24306,                0.05387,                0.02267,                 2.1613,                 10.246,                 2.5538,                0.00604,                0.00604,                0.00604
                     42,                 2.1578,                 2.9957,                 2.3905,                 0.1284,                0.25478,                0.05745,                0.02621,                 2.1257,                 10.046,                 2.4595,               0.005941,               0.005941,               0.005941
                     43,                 2.1717,                  2.991,                 2.3907,                0.08643,                0.24883,                0.05633,                0.02379,                  2.142,                  8.816,                  2.531,               0.005842,               0.005842,               0.005842
                     44,                 2.1654,                 3.0473,                 2.3657,                0.08491,                0.27602,                0.03786,                0.01617,                 2.2496,                 19.659,                 2.7231,               0.005743,               0.005743,               0.005743
                     45,                 2.1383,                 2.9584,                 2.3559,                 0.1026,                0.22978,                0.04091,                 0.0162,                 2.2936,                 18.524,                 2.7365,               0.005644,               0.005644,               0.005644
                     46,                 2.1532,                 2.9669,                 2.4035,                0.18562,                0.27255,                0.06259,                0.02769,                 2.1664,                  6.654,                  2.533,               0.005545,               0.005545,               0.005545
                     47,                  2.127,                 2.9931,                 2.3621,                0.14974,                0.17751,                0.05313,                0.02271,                 2.6134,                 3.7487,                  2.975,               0.005446,               0.005446,               0.005446
                     48,                 2.1042,                 2.9891,                 2.3407,                0.11695,                0.27128,                0.06352,                 0.0296,                 2.1225,                 10.645,                  2.541,               0.005347,               0.005347,               0.005347
                     49,                 2.0644,                 2.8982,                 2.3186,                0.09675,                 0.2225,                0.05091,                 0.0206,                 2.2539,                 8.7035,                 2.6624,               0.005248,               0.005248,               0.005248
                     50,                 2.1086,                  2.927,                 2.3567,                0.14087,                0.29178,                0.05577,                0.02771,                 2.0105,                 10.548,                 2.3732,               0.005149,               0.005149,               0.005149
                     51,                 2.0688,                 2.8279,                 2.2947,                0.09778,                0.30444,                0.05462,                0.02421,                 2.0878,                 12.572,                 2.4537,                0.00505,                0.00505,                0.00505
                     52,                 2.0845,                 2.9751,                 2.3345,                0.15339,                0.23404,                0.06983,                 0.0324,                 2.0909,                 7.0583,                 2.4644,               0.004951,               0.004951,               0.004951
                     53,                 2.0991,                 2.9007,                 2.3556,                0.15868,                 0.2291,                0.08558,                0.04357,                 1.9901,                 6.9737,                 2.3945,               0.004852,               0.004852,               0.004852
                     54,                 2.1161,                 2.8308,                 2.3179,                 0.1276,                0.25362,                0.06528,                0.03156,                 2.0292,                 7.7869,                 2.3793,               0.004753,               0.004753,               0.004753
                     55,                 2.0887,                 2.8807,                 2.3331,                0.16762,                 0.2172,                0.10467,                0.05481,                 1.9693,                   4.12,                  2.344,               0.004654,               0.004654,               0.004654
                     56,                 2.0793,                 2.8593,                 2.3161,                0.12723,                0.29763,                0.04852,                0.02371,                 2.0315,                 18.709,                 2.3683,               0.004555,               0.004555,               0.004555
                     57,                 2.0936,                  2.962,                 2.3041,                0.11127,                0.30107,                0.06008,                0.03078,                 1.9633,                     13,                 2.3274,               0.004456,               0.004456,               0.004456
                     58,                 2.0859,                 2.8381,                 2.3085,                 0.1033,                0.24398,                 0.0706,                0.03672,                 2.0068,                  9.417,                 2.3739,               0.004357,               0.004357,               0.004357
                     59,                  2.075,                 2.8554,                  2.305,                0.13433,                0.28403,                0.08215,                0.04229,                 1.9488,                 7.6451,                 2.3378,               0.004258,               0.004258,               0.004258
                     60,                 2.0522,                 2.7803,                 2.2912,                 0.0992,                0.32111,                0.05594,                0.02531,                 1.9701,                 15.093,                 2.3392,               0.004159,               0.004159,               0.004159
                     61,                 2.0628,                 2.7731,                 2.2801,                0.15237,                0.31422,                0.08087,                0.03924,                 1.9513,                 8.1481,                 2.2874,                0.00406,                0.00406,                0.00406
                     62,                 2.0087,                 2.7507,                 2.2493,                0.11979,                0.27724,                0.07948,                0.04018,                 1.9636,                 6.3314,                 2.2994,               0.003961,               0.003961,               0.003961
                     63,                 2.0575,                 2.7591,                 2.2787,                0.10459,                  0.251,                0.06309,                0.02814,                 2.0989,                   7.01,                 2.4449,               0.003862,               0.003862,               0.003862
                     64,                 2.0134,                 2.7363,                 2.2345,                 0.1032,                0.26629,                0.05554,                0.02596,                 2.0842,                 10.607,                 2.4224,               0.003763,               0.003763,               0.003763
                     65,                 2.0781,                 2.7865,                 2.2892,                0.17125,                0.27741,                0.09562,                 0.0487,                 1.9753,                 5.3079,                 2.3169,               0.003664,               0.003664,               0.003664
                     66,                 2.0256,                  2.777,                 2.2646,                0.11289,                0.24879,                0.07887,                 0.0397,                 1.9314,                 7.9566,                 2.3344,               0.003565,               0.003565,               0.003565
                     67,                 2.0281,                 2.7552,                 2.2561,                0.15911,                0.30501,                0.10474,                0.05561,                  1.914,                 5.7275,                 2.2683,               0.003466,               0.003466,               0.003466
                     68,                 2.0062,                  2.699,                  2.254,                0.12461,                  0.267,                  0.075,                0.03637,                 2.0161,                 8.5435,                 2.3741,               0.003367,               0.003367,               0.003367
                     69,                 2.0232,                 2.7573,                 2.2462,                0.21474,                  0.271,                0.11781,                0.06401,                 1.8788,                 5.5328,                 2.2281,               0.003268,               0.003268,               0.003268
                     70,                  2.029,                 2.6979,                 2.2557,                0.17989,                0.27456,                 0.1161,                0.06481,                  1.866,                 5.9719,                 2.2427,               0.003169,               0.003169,               0.003169
                     71,                 2.0122,                 2.7207,                 2.2426,                0.18943,                0.28119,                0.11946,                0.06506,                 1.8663,                 4.6246,                 2.2224,                0.00307,                0.00307,                0.00307
                     72,                 1.9607,                 2.7188,                 2.2098,                  0.168,                0.29649,                 0.1167,                0.06558,                 1.8208,                 4.6002,                 2.1956,               0.002971,               0.002971,               0.002971
                     73,                 1.9913,                 2.6812,                 2.2426,                 0.1693,                0.26196,                0.10581,                0.05766,                 1.8666,                 5.8899,                   2.23,               0.002872,               0.002872,               0.002872
                     74,                 1.9994,                 2.6858,                 2.2278,                0.15118,                0.30897,                0.09019,                0.04745,                 1.9331,                 7.2356,                 2.2542,               0.002773,               0.002773,               0.002773
                     75,                 1.9927,                 2.6499,                 2.2256,                0.13409,                0.28278,                0.10103,                0.05086,                 1.9077,                 9.2081,                  2.297,               0.002674,               0.002674,               0.002674
                     76,                 1.9613,                 2.6178,                 2.2204,                0.16959,                0.28046,                0.12002,                0.06588,                 1.9096,                 5.0876,                 2.2755,               0.002575,               0.002575,               0.002575
                     77,                 1.9829,                 2.6655,                 2.2073,                0.23287,                0.27222,                0.12352,                0.06979,                 1.8097,                 5.9828,                 2.1847,               0.002476,               0.002476,               0.002476
                     78,                  1.992,                 2.6271,                 2.2164,                 0.1698,                0.30897,                0.10649,                0.05869,                 1.8395,                 8.2983,                 2.2295,               0.002377,               0.002377,               0.002377
                     79,                 1.9371,                 2.5903,                 2.2039,                0.16493,                0.29016,                0.11205,                0.06064,                 1.8723,                  7.569,                 2.2844,               0.002278,               0.002278,               0.002278
                     80,                 1.9746,                  2.617,                 2.2114,                0.20432,                0.32261,                0.12753,                0.07194,                 1.8479,                 5.6884,                 2.2347,               0.002179,               0.002179,               0.002179
                     81,                 1.9569,                  2.569,                 2.2008,                0.22246,                0.30965,                0.13301,                0.07613,                 1.8024,                 5.2909,                 2.1909,                0.00208,                0.00208,                0.00208
                     82,                 1.9472,                 2.5923,                  2.193,                0.18107,                0.30656,                0.11808,                0.06783,                 1.7737,                 4.9327,                 2.1702,               0.001981,               0.001981,               0.001981
                     83,                 1.9363,                 2.5879,                  2.175,                0.22452,                0.28356,                0.14728,                0.08807,                 1.7824,                 4.2833,                 2.1797,               0.001882,               0.001882,               0.001882
                     84,                 1.9328,                 2.5714,                 2.1865,                0.16901,                0.20414,                0.08403,                0.04255,                 1.9208,                 5.4252,                 2.3056,               0.001783,               0.001783,               0.001783
                     85,                 1.9486,                 2.5885,                 2.2034,                0.16501,                0.23297,                 0.1123,                0.06121,                 1.8756,                 5.3035,                 2.2731,               0.001684,               0.001684,               0.001684
                     86,                 1.9312,                 2.5534,                 2.1711,                0.22976,                0.28928,                0.15674,                 0.0918,                 1.7978,                 4.1009,                 2.1657,               0.001585,               0.001585,               0.001585
                     87,                 1.8901,                 2.4941,                 2.1328,                0.27258,                  0.307,                0.15943,                0.09195,                 1.7876,                 5.3267,                  2.183,               0.001486,               0.001486,               0.001486
                     88,                 1.8936,                 2.5402,                 2.1505,                0.24873,                 0.2936,                0.16516,                0.09718,                 1.7687,                 3.9477,                 2.1488,               0.001387,               0.001387,               0.001387
                     89,                 1.9146,                 2.4881,                 2.1582,                0.23813,                0.31424,                 0.1756,                0.10623,                 1.7428,                 4.4594,                 2.1408,               0.001288,               0.001288,               0.001288
                     90,                 1.8938,                 2.5004,                 2.1603,                0.25456,                0.30173,                0.14792,                0.08774,                 1.7705,                 5.3107,                 2.1678,               0.001189,               0.001189,               0.001189
                     91,                 1.9023,                 2.3151,                  2.274,                 0.1776,                0.28569,                0.13853,                0.08314,                 1.7658,                 4.4545,                 2.1536,                0.00109,                0.00109,                0.00109
                     92,                 1.8556,                 2.2259,                 2.2173,                 0.1913,                0.24756,                0.14826,                0.08685,                 1.8105,                 3.9186,                 2.1991,               0.000991,               0.000991,               0.000991
                     93,                    1.8,                 2.2009,                  2.202,                0.19605,                0.23915,                0.11561,                0.06643,                 1.7892,                  4.952,                 2.1808,               0.000892,               0.000892,               0.000892
                     94,                 1.8067,                 2.1326,                 2.1786,                0.19326,                0.27978,                0.12402,                0.07338,                 1.7585,                 5.5967,                 2.1627,               0.000793,               0.000793,               0.000793
                     95,                 1.7903,                 2.1275,                  2.171,                0.20367,                0.26285,                0.13596,                0.08037,                 1.7926,                 5.4291,                 2.2228,               0.000694,               0.000694,               0.000694
                     96,                 1.8177,                 2.0983,                 2.1846,                 0.2039,                0.26312,                  0.123,                0.07388,                  1.792,                 5.5797,                 2.1988,               0.000595,               0.000595,               0.000595
                     97,                 1.7702,                 2.1007,                 2.1438,                0.18848,                0.25138,                0.11011,                0.06347,                 1.8075,                 6.5478,                 2.2185,               0.000496,               0.000496,               0.000496
                     98,                 1.7791,                 2.0691,                 2.1467,                0.22153,                0.24306,                0.12589,                0.07472,                 1.8036,                 5.4509,                 2.2165,               0.000397,               0.000397,               0.000397
                     99,                 1.7579,                 2.0596,                 2.1506,                0.22233,                0.25203,                0.13456,                0.08027,                 1.8002,                 5.3736,                 2.2036,               0.000298,               0.000298,               0.000298
                    100,                 1.7656,                 2.0502,                 2.1216,                 0.2133,                0.25177,                0.11748,                0.06927,                 1.7972,                 6.1337,                 2.2005,               0.000199,               0.000199,               0.000199
