                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5938,                 5.0857,                 2.8014,                0.00052,                0.01614,                0.00027,                  4e-05,                    nan,                    nan,                    nan,               0.070612,              0.0032653,              0.0032653
                      2,                 2.4378,                 2.7901,                 2.8208,                0.33586,                0.01138,                 0.0014,                0.00073,                    nan,                    nan,                    nan,               0.040547,              0.0065333,              0.0065333
                      3,                 2.3172,                 2.6496,                 2.7357,                0.40226,                0.08201,                0.02366,                0.00675,                 3.3391,                 23.618,                 5.1227,               0.010416,              0.0097353,              0.0097353
                      4,                 2.2266,                 2.6196,                 2.6828,                0.38036,                 0.2418,                0.03858,                0.01359,                  2.596,                 14.389,                 3.6265,               0.009703,               0.009703,               0.009703
                      5,                 2.1273,                  2.484,                 2.5691,                 0.4141,                0.16111,                0.04572,                0.01672,                 2.5159,                  6.912,                 3.2015,               0.009604,               0.009604,               0.009604
                      6,                  2.039,                 2.3744,                 2.4899,                0.52038,                0.06439,                0.06161,                 0.0233,                 2.4517,                 4.9544,                   3.16,               0.009505,               0.009505,               0.009505
                      7,                 2.0048,                 2.2664,                 2.4633,                0.16963,                0.31561,                0.12928,                 0.0526,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.9652,                 2.1364,                 2.3983,                0.24758,                0.26866,                0.18133,                0.07338,                 2.2042,                 3.3899,                 2.6473,               0.009307,               0.009307,               0.009307
                      9,                 1.9326,                 2.0941,                 2.3908,                0.50395,                0.20979,                0.14442,                0.06183,                 2.2085,                 3.2144,                 2.8011,               0.009208,               0.009208,               0.009208
                     10,                 1.8823,                 2.0598,                 2.3608,                 0.1701,                0.33489,                0.15441,                0.06105,                 2.2433,                 3.2086,                  2.771,               0.009109,               0.009109,               0.009109
                     11,                 1.9135,                 2.0768,                 2.3298,                0.18609,                0.28085,                0.16851,                0.08139,                 2.2594,                 3.0509,                 2.8448,                0.00901,                0.00901,                0.00901
                     12,                 1.7976,                 1.9484,                 2.2258,                0.25337,                0.31256,                0.21914,                0.10556,                 2.0716,                 2.9685,                 2.4895,               0.008911,               0.008911,               0.008911
                     13,                 1.7765,                 1.8714,                 2.1811,                0.19472,                0.31018,                0.17658,                0.08151,                 2.1725,                 3.2036,                 2.7094,               0.008812,               0.008812,               0.008812
                     14,                 1.7574,                 1.8174,                 2.1665,                0.59491,                0.21931,                0.21026,                0.09793,                 2.1576,                 2.4908,                 2.6418,               0.008713,               0.008713,               0.008713
                     15,                  1.714,                 1.7206,                 2.1158,                 0.6365,                0.22619,                0.24628,                0.11859,                 2.1757,                 2.5572,                 2.6315,               0.008614,               0.008614,               0.008614
                     16,                 1.6753,                 1.6843,                 2.0747,                 0.3227,                0.29779,                0.25301,                0.12765,                 2.1065,                 2.3076,                 2.5897,               0.008515,               0.008515,               0.008515
