fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.01665,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.01242,0.00881,0.01169,0.937,0.0005,3.0,0.8,7.51981,0.55922,1.40104,0.0137,0.68061,0.31154,0.0,0.1,0.50107,0.0,0.0,0.0,0.5,0.0,0.89793,0.0,0.0
0.0246,0.01005,0.01,0.93915,0.0005,2.98276,0.80102,7.51852,0.50136,1.50017,0.01506,0.70259,0.39862,0.0,0.10075,0.50274,0.0,0.0,0.0,0.50152,0.0,1.0,0.0,0.0
0.0161,0.01005,0.01036,0.93915,0.0005,2.30113,0.80102,8.29542,0.4411,1.29798,0.0127,0.64302,0.38604,0.0,0.10341,0.46662,0.0,0.0,0.0,0.50152,0.0,0.97371,0.0,0.0
0.00427,0.00997,0.01007,0.94215,0.00047,3.09695,0.80102,7.49836,0.48037,1.52252,0.01506,0.71411,0.38646,0.0,0.10181,0.50497,0.0,0.0,0.0,0.48787,0.0,1.0,0.0,0.0
0.008,0.00956,0.00989,0.92364,0.00048,2.97231,0.8,7.59241,0.48494,1.5,0.01429,0.66901,0.36337,0.0,0.1,0.51645,0.0,0.0,0.0,0.52416,0.0,0.95265,0.0,0.0
0.01274,0.01031,0.00924,0.948,0.0005,2.82324,0.82672,7.25318,0.55535,1.51012,0.01506,0.68841,0.38296,0.0,0.10075,0.47226,0.0,0.0,0.0,0.51851,0.0,1.0,0.0,0.0
0.01452,0.01059,0.0097,0.9599,0.00048,2.95807,0.74291,7.5,0.46931,1.28094,0.01775,0.6206,0.38104,0.0,0.08946,0.5,0.0,0.0,0.0,0.48993,0.0,1.0,0.0,0.0
0.00919,0.00801,0.01181,0.97728,0.0005,3.0119,0.80102,9.29361,0.44131,1.40244,0.017,0.70259,0.43632,0.0,0.10075,0.50274,0.0,0.0,0.0,0.49523,0.0,0.95363,0.0,0.0
0.01864,0.01067,0.01037,0.92406,0.0005,2.98276,0.80498,7.51852,0.49941,1.28156,0.01438,0.70259,0.34868,0.0,0.12137,0.48922,0.0,0.0,0.0,0.5536,0.0,1.0,0.0,0.0
0.02197,0.00967,0.01156,0.93331,0.00051,3.49361,0.93475,6.85997,0.48132,1.04942,0.01438,0.69552,0.27588,0.0,0.13423,0.47224,0.0,0.0,0.0,0.47198,0.0,0.951,0.0,0.0
0.01226,0.00943,0.00888,0.91554,0.00056,2.97536,0.79339,6.55007,0.49941,1.25436,0.01255,0.7407,0.34868,0.0,0.1302,0.48922,0.0,0.0,0.0,0.48652,0.0,0.95601,0.0,0.0
0.01673,0.00967,0.01062,0.8935,0.00051,3.76964,0.93024,7.40926,0.5502,1.2428,0.01675,0.69552,0.22673,0.0,0.10644,0.4605,0.0,0.0,0.0,0.53326,0.0,0.92525,0.0,0.0
0.01337,0.01044,0.01,0.95355,0.0005,2.85928,0.80521,6.97198,0.50136,1.64041,0.01485,0.70634,0.38797,0.0,0.09069,0.54195,0.0,0.0,0.0,0.50077,0.0,0.99402,0.0,0.0
0.00979,0.01206,0.01575,0.91344,0.00054,3.80415,0.95,7.65884,0.48132,0.94786,0.01618,0.69552,0.27588,0.0,0.1539,0.27758,0.0,0.0,0.0,0.37429,0.0,0.951,0.0,0.0
0.01764,0.00967,0.01327,0.93331,0.00051,3.10786,0.95,8.55598,0.57998,1.04942,0.01631,0.78928,0.30264,0.0,0.13921,0.47591,0.0,0.0,0.0,0.45925,0.0,0.94756,0.0,0.0
0.01851,0.01005,0.01061,0.93762,0.00046,2.98276,0.80102,6.62074,0.48967,1.50017,0.0146,0.62305,0.43271,0.0,0.10075,0.51494,0.0,0.0,0.0,0.47658,0.0,1.0,0.0,0.0
0.01438,0.01094,0.01022,0.92406,0.00064,2.96697,0.80498,9.71841,0.58871,1.28156,0.01484,0.68161,0.36789,0.0,0.13725,0.49464,0.0,0.0,0.0,0.5536,0.0,0.97205,0.0,0.0
0.01253,0.0096,0.01188,0.9381,0.00053,2.2877,0.82086,6.00751,0.41235,1.6018,0.0129,0.62305,0.48193,0.0,0.10075,0.52462,0.0,0.0,0.0,0.47658,0.0,0.93092,0.0,0.0
0.0088,0.00967,0.01304,0.94927,0.00051,3.49361,0.95,7.15404,0.40115,1.04942,0.01312,0.71346,0.3149,0.0,0.13423,0.47224,0.0,0.0,0.0,0.4758,0.0,1.0,0.0,0.0
0.01208,0.01067,0.00847,0.91152,0.00057,3.5125,0.74082,8.33025,0.50753,0.76389,0.01251,0.83706,0.26127,0.0,0.14495,0.36394,0.0,0.0,0.0,0.56541,0.0,0.77845,0.0,0.0
0.01321,0.01016,0.01002,0.93937,0.0005,2.97778,0.79231,7.51852,0.49048,1.52501,0.01499,0.69646,0.39786,0.0,0.0999,0.51078,0.0,0.0,0.0,0.50787,0.0,0.98663,0.0,0.0
0.01575,0.00967,0.01157,0.93586,0.00052,3.52984,0.93683,6.86054,0.47202,1.05124,0.01438,0.69674,0.28185,0.0,0.13212,0.47487,0.0,0.0,0.0,0.47198,0.0,0.951,0.0,0.0
0.0067,0.01417,0.01037,0.98,0.00051,3.27796,0.83016,6.51707,0.42301,1.30854,0.01311,0.78881,0.24926,0.0,0.09004,0.45779,0.0,0.0,0.0,0.69871,0.0,0.96775,0.0,0.0
0.01926,0.00967,0.01012,0.89186,0.00052,3.10977,0.93132,6.83708,0.36749,1.59494,0.01438,0.64805,0.27588,0.0,0.10587,0.43364,0.0,0.0,0.0,0.4787,0.0,1.0,0.0,0.0
0.02702,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.02423,0.00874,0.01198,0.96499,0.00052,3.67637,0.93475,6.72746,0.50582,1.04942,0.01438,0.69385,0.26326,0.0,0.12395,0.47224,0.0,0.0,0.0,0.54457,0.0,0.95607,0.0,0.0
0.02338,0.00873,0.01198,0.96511,0.00052,3.67872,0.93555,6.75506,0.50628,1.0486,0.01438,0.69375,0.26365,0.0,0.12399,0.47224,0.0,0.0,0.0,0.54418,0.0,0.95489,0.0,0.0
0.01979,0.00864,0.01217,0.96365,0.00052,3.65212,0.94311,6.68922,0.50322,1.04942,0.01453,0.69578,0.26335,0.0,0.12345,0.47224,0.0,0.0,0.0,0.54586,0.0,0.96221,0.0,0.0
0.02126,0.0101,0.01,0.94927,0.0005,2.78609,0.84304,7.87836,0.50803,1.57979,0.01499,0.70975,0.39686,0.0,0.10107,0.5,0.0,0.0,0.0,0.50392,0.0,0.95215,0.0,0.0
0.0234,0.01022,0.01,0.93804,0.0005,2.98178,0.79604,7.46515,0.5099,1.49655,0.015,0.70937,0.39699,0.0,0.1,0.49906,0.0,0.0,0.0,0.50458,0.0,0.99513,0.0,0.0
0.02678,0.01,0.00993,0.94992,0.00036,3.27958,0.8,8.49784,0.45871,1.26196,0.01727,0.69524,0.42976,0.0,0.08993,0.4239,0.0,0.0,0.0,0.39965,0.0,0.88287,0.0,0.0
0.03159,0.00954,0.01531,0.94795,0.00053,3.93366,0.93475,6.47404,0.50083,1.035,0.01013,0.71547,0.2619,0.0,0.10864,0.48739,0.0,0.0,0.0,0.54457,0.0,1.0,0.0,0.0
0.03121,0.00957,0.01094,0.94992,0.00037,3.59237,0.83957,7.48003,0.43019,1.26196,0.01727,0.58604,0.42976,0.0,0.09019,0.39657,0.0,0.0,0.0,0.3697,0.0,0.85288,0.0,0.0
0.03346,0.00911,0.01575,0.95402,0.00057,5.0,0.93475,6.81979,0.51053,0.91067,0.01036,0.57807,0.24736,0.0,0.10744,0.55018,0.0,0.0,0.0,0.54457,0.0,0.65674,0.0,0.0
0.02702,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.02888,0.00684,0.01088,0.93929,0.0007,4.95724,0.93475,6.7015,0.5346,0.71433,0.0104,0.59455,0.19139,0.0,0.09786,0.49192,0.0,0.0,0.0,0.60675,0.0,0.66214,0.0,0.0
