                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7131,                 2.3064,                 1.9278,                0.01186,                0.39691,                0.00718,                0.00272,                 2.3939,                    inf,                 3.7835,             0.00047339,             0.00047339,             0.00047339
                      2,                 1.8383,                 2.2705,                 2.0447,                 0.2388,                0.26025,                0.23019,                0.11741,                 2.1798,                 9.7439,                 2.5747,             0.00094032,             0.00094032,             0.00094032
                      3,                 1.7958,                 2.2649,                  2.016,                0.34407,                0.25905,                0.21725,                0.11882,                 2.1932,                 5.2546,                 2.3883,              0.0013978,              0.0013978,              0.0013978
                      4,                 1.7692,                 2.2227,                 1.9821,                0.25018,                 0.4078,                0.17449,                0.08209,                 1.9215,                 3.0839,                 2.1389,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.7017,                 2.0877,                 1.9471,                0.72463,                0.32583,                0.36536,                0.19329,                 1.9317,                 2.3588,                 2.1664,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.6721,                 2.0406,                  1.911,                0.52532,                0.43181,                 0.4408,                0.26903,                 1.7683,                  1.914,                 1.9475,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6357,                 1.9443,                 1.8596,                0.55888,                0.44623,                0.44198,                0.27567,                 1.7027,                 2.0463,                  1.892,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5832,                 1.8485,                 1.8154,                0.55752,                 0.4613,                0.46853,                0.25241,                 1.8098,                 1.9592,                 1.9618,                0.00133,                0.00133,                0.00133
                      9,                 1.5683,                 1.8284,                 1.8136,                0.58265,                0.43748,                0.45498,                0.24756,                 1.8008,                 1.9611,                 1.9669,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.5749,                 1.8277,                 1.8044,                0.62203,                0.46435,                0.50636,                0.29885,                 1.6653,                 1.8119,                 1.8597,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.5446,                 1.7431,                 1.7765,                0.57357,                0.53545,                0.52046,                0.30527,                 1.6647,                 1.6783,                 1.8364,              0.0012875,              0.0012875,              0.0012875
