                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3029,                 3.6928,                 3.9414,                0.05547,                0.10435,                0.02754,                0.00809,                 3.1022,                 4.3679,                  4.429,             0.00047343,             0.00047343,             0.00047343
                      2,                 2.7692,                 3.2859,                 3.3087,                0.70804,                0.10798,                0.04491,                 0.0135,                 2.8207,                  4.402,                 3.7544,             0.00094036,             0.00094036,             0.00094036
                      3,                 2.4539,                 3.0476,                 2.8905,                0.54615,                0.21165,                0.14373,                0.05595,                   2.46,                  3.231,                 3.0995,              0.0013979,              0.0013979,              0.0013979
                      4,                 2.2694,                 2.8336,                 2.6706,                0.19823,                0.20163,                0.15458,                 0.0599,                 2.3922,                 4.7002,                  3.039,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.1338,                 2.7024,                 2.5118,                0.55006,                0.22535,                0.23158,                0.11762,                 2.1503,                 3.1255,                 2.6366,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.0546,                 2.5988,                 2.4247,                0.25652,                0.36457,                 0.2838,                0.13497,                 2.0691,                   2.74,                 2.5537,              0.0013583,              0.0013583,              0.0013583
                      7,                 2.0105,                  2.482,                 2.3404,                0.33302,                0.33947,                0.32609,                0.17531,                 2.0148,                 2.4126,                  2.469,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.9191,                 2.3758,                 2.2534,                0.37154,                0.39311,                0.37634,                0.19504,                 1.9626,                 2.2801,                 2.3937,                0.00133,                0.00133,                0.00133
                      9,                 1.8912,                 2.3156,                 2.2148,                0.41293,                0.41419,                0.42403,                0.23715,                 1.8845,                 2.2544,                 2.3463,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.887,                 2.3109,                 2.1857,                0.64889,                0.34742,                0.37959,                0.21956,                 1.9041,                  2.455,                 2.2989,              0.0013017,              0.0013017,              0.0013017
                     11,                  1.844,                 2.2416,                 2.1465,                0.46811,                0.45407,                0.43854,                0.25622,                 1.7876,                 2.1872,                 2.2415,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.7969,                 2.1515,                 2.0952,                 0.3653,                0.41915,                0.38148,                0.21845,                 1.8052,                 2.4151,                 2.2367,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.7777,                 2.1568,                 2.0923,                0.40882,                0.46995,                0.42126,                 0.2442,                  1.797,                 2.1921,                 2.2015,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.7606,                 2.1155,                 2.0663,                0.58843,                0.37757,                0.45967,                0.28112,                 1.7042,                 2.2055,                 2.1453,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.729,                 2.0793,                 2.0308,                 0.4187,                0.47626,                0.42511,                0.22667,                 1.8675,                 2.0804,                 2.2533,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.7206,                  2.058,                 2.0141,                0.47771,                 0.5071,                0.45767,                0.25503,                 1.8259,                  1.998,                 2.2072,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.6963,                  1.999,                 1.9845,                0.48389,                0.54274,                0.51319,                0.29911,                 1.6853,                 1.9868,                 2.0998,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.7046,                  2.003,                 1.9891,                0.46389,                0.46103,                0.45386,                0.25863,                  1.851,                 2.1279,                 2.2287,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.6741,                 1.9627,                  1.949,                0.47501,                 0.5107,                0.49007,                0.28768,                  1.731,                 1.9427,                 2.1231,              0.0011744,              0.0011744,              0.0011744
                     20,                  1.663,                 1.9274,                 1.9505,                0.55212,                 0.5096,                 0.5184,                 0.2804,                 1.8402,                   1.86,                 2.1753,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.6517,                 1.9398,                 1.9363,                0.49661,                0.49078,                0.50271,                0.27324,                 1.8154,                 2.0372,                 2.1698,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.6382,                 1.9133,                 1.9259,                0.55198,                0.53369,                0.52109,                0.29131,                 1.7397,                 1.8061,                 2.1005,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.6098,                 1.8699,                 1.9078,                0.51347,                0.48439,                0.45417,                 0.2632,                  1.715,                  2.448,                 2.0656,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.6117,                 1.8655,                 1.9095,                 0.6045,                0.51984,                0.53124,                0.31793,                  1.611,                 1.9719,                 2.0155,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.6154,                 1.8771,                 1.9017,                0.49374,                0.53653,                0.51397,                0.29028,                 1.7363,                 1.8494,                   2.08,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.6013,                 1.8409,                 1.8936,                0.63419,                0.46964,                0.54365,                 0.3054,                 1.7422,                 1.7984,                 2.0982,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.5745,                 1.7841,                  1.861,                0.59721,                0.50553,                0.51848,                0.30672,                  1.718,                  1.767,                 2.0772,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.5789,                 1.7916,                 1.8547,                0.63271,                0.50567,                0.56734,                 0.3384,                 1.5864,                 1.7848,                 1.9744,               0.001047,               0.001047,               0.001047
                     29,                 1.5447,                 1.7321,                 1.8248,                0.54836,                0.55481,                 0.5125,                0.32365,                  1.557,                 2.0332,                  1.943,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.5556,                 1.7588,                   1.84,                0.65787,                0.53552,                 0.5751,                0.32982,                 1.6655,                 1.7465,                 2.0191,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.5531,                 1.7488,                 1.8489,                0.56002,                 0.4991,                0.52851,                 0.3372,                 1.5585,                 1.7689,                 1.9438,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.5157,                 1.7109,                 1.8105,                0.60603,                 0.5123,                0.55817,                0.33128,                 1.5968,                  1.726,                 1.9545,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.5304,                  1.718,                 1.8269,                0.53637,                0.50483,                0.49021,                0.29617,                 1.6005,                 2.0599,                 1.9623,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.5022,                 1.6707,                 1.7826,                0.57777,                0.54004,                0.55221,                0.32018,                  1.615,                 1.7586,                 1.9681,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.4871,                 1.6651,                  1.782,                0.55573,                0.56524,                 0.5544,                 0.3629,                 1.5121,                 1.6725,                 1.9268,               0.000948,               0.000948,               0.000948
                     36,                 1.4936,                 1.6601,                 1.7747,                0.64928,                0.53447,                0.57439,                0.36527,                 1.4995,                 1.6195,                 1.8746,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.4762,                 1.6546,                 1.7688,                0.59901,                0.53611,                0.56322,                0.34167,                 1.5452,                 1.6471,                 1.9042,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.4595,                 1.6135,                 1.7621,                0.63826,                0.53011,                0.55826,                0.36362,                 1.4551,                 1.7655,                  1.832,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4643,                 1.6075,                 1.7497,                0.57907,                0.56998,                0.56784,                0.35696,                 1.5385,                 1.7613,                  1.916,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4565,                 1.5994,                 1.7466,                0.61906,                0.52352,                0.57281,                0.37089,                  1.458,                 1.6042,                 1.8489,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.4351,                 1.5843,                 1.7398,                0.59466,                 0.5128,                0.55088,                0.35499,                 1.4897,                 1.7366,                 1.8656,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.4244,                 1.5595,                 1.7381,                0.60367,                0.56394,                0.56904,                0.35985,                 1.4671,                 1.7133,                 1.8697,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.4257,                  1.569,                  1.743,                0.62402,                0.52925,                0.56435,                 0.3722,                 1.4471,                 1.6439,                 1.8526,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4133,                 1.5318,                 1.7126,                0.62435,                0.49354,                 0.5229,                0.35311,                 1.4635,                 1.9465,                 1.8435,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.4161,                 1.5411,                 1.7152,                0.60586,                0.55061,                0.56753,                0.36654,                 1.4643,                 1.7205,                 1.8765,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3898,                 1.5064,                 1.6984,                0.66147,                0.55447,                0.57651,                0.39116,                   1.41,                 1.6764,                 1.8045,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.3831,                 1.5115,                 1.7016,                0.56096,                0.55967,                0.55576,                 0.3687,                 1.4404,                 1.6011,                 1.8231,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3693,                  1.478,                 1.6834,                0.71991,                0.51043,                0.56123,                 0.3738,                 1.4242,                 1.5909,                 1.8282,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.3636,                 1.4658,                 1.6821,                0.64788,                0.50195,                0.54396,                0.37314,                 1.4228,                 1.7845,                 1.8063,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3424,                  1.477,                 1.6724,                0.70633,                0.51737,                0.59994,                0.39402,                 1.4647,                  1.495,                 1.8443,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.3545,                 1.4228,                  1.668,                0.61064,                0.54204,                0.58676,                0.40488,                 1.3601,                 1.4927,                 1.7871,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.3606,                 1.4432,                 1.6664,                0.69556,                  0.539,                0.58073,                0.39115,                  1.407,                 1.6037,                 1.7807,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.3522,                 1.4485,                 1.6673,                0.64259,                0.57246,                0.58027,                0.39204,                 1.4286,                 1.5554,                 1.8185,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.3179,                 1.4097,                 1.6514,                0.61138,                0.57967,                0.59584,                0.40306,                 1.4027,                 1.5673,                 1.8055,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.3144,                 1.4099,                 1.6458,                0.69486,                0.54807,                0.58592,                0.40473,                 1.4057,                 1.5854,                 1.8288,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.3228,                 1.4178,                 1.6516,                0.62013,                0.54828,                0.54019,                0.36753,                  1.426,                 1.7766,                 1.8362,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.3161,                 1.3744,                 1.6394,                0.66083,                 0.5806,                0.59492,                0.41193,                 1.3599,                 1.4944,                 1.7885,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3043,                 1.3702,                 1.6301,                0.65643,                0.57306,                0.60491,                0.41787,                 1.3804,                 1.4384,                 1.7848,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.2946,                 1.3558,                 1.6154,                0.69126,                0.55739,                0.60929,                0.41625,                 1.3861,                  1.494,                  1.783,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.2794,                 1.3529,                  1.621,                0.68392,                0.57301,                0.60559,                0.41126,                 1.3723,                 1.5945,                 1.8122,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2826,                 1.3317,                 1.6102,                0.68105,                0.57518,                0.61394,                0.41772,                 1.3631,                 1.4826,                 1.7836,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.2469,                 1.3246,                 1.6069,                0.73299,                 0.5616,                0.62213,                0.41728,                 1.3913,                  1.429,                 1.8062,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.2638,                  1.331,                 1.6071,                0.70003,                0.55566,                0.61602,                0.41301,                 1.3599,                 1.4304,                 1.7745,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.2656,                 1.3147,                 1.5915,                0.63941,                0.57085,                0.59963,                0.41509,                  1.369,                 1.4632,                 1.7876,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.2662,                 1.3019,                 1.6013,                0.70728,                 0.5638,                0.61291,                0.41045,                 1.3549,                 1.5416,                 1.7684,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.2509,                  1.287,                 1.5867,                  0.668,                  0.559,                0.59959,                0.41278,                 1.3555,                 1.4789,                 1.7691,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.2754,                 1.3145,                 1.6083,                0.73352,                0.55455,                0.62164,                0.42542,                 1.3509,                 1.4485,                 1.7633,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.2249,                 1.2641,                 1.5751,                0.68788,                0.56917,                0.61408,                0.41968,                 1.3262,                 1.4955,                 1.7629,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.2235,                 1.2553,                 1.5705,                0.70422,                0.55741,                0.62281,                0.43013,                 1.3105,                 1.4298,                 1.7466,               0.000467,               0.000467,               0.000467
