                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6868,                 2.6863,                 1.8527,                0.06669,                0.27028,                0.02995,                0.01088,                  2.215,                    inf,                 3.0523,             0.00046717,             0.00046717,             0.00046717
                      2,                 1.8892,                 2.4203,                 1.9991,                0.02812,                0.13547,                0.00513,                0.00236,                  3.074,                 21.502,                 3.9394,             0.00093884,             0.00093884,             0.00093884
                      3,                 1.9771,                 2.4801,                 2.1196,                0.00657,                0.21677,                0.00354,                0.00119,                 3.0591,                    inf,                 7.7497,              0.0014058,              0.0014058,              0.0014058
                      4,                 1.9594,                 2.4143,                 2.0558,                0.08848,                0.17855,                0.10889,                0.06469,                 2.6881,                 13.887,                 2.8699,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.8349,                  2.354,                 1.9926,                0.30037,                0.27281,                0.24134,                0.13942,                 2.1636,                 4.6278,                 2.3522,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.8664,                 2.3377,                 1.9875,                0.35344,                0.33861,                0.29977,                0.17964,                 2.0633,                 3.1702,                 2.2106,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.7367,                 2.2017,                 1.9131,                0.43682,                0.32729,                0.32162,                0.20279,                 1.9174,                 2.7523,                 2.1292,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.7882,                 2.2212,                 1.9459,                0.54481,                0.30936,                 0.3435,                 0.2214,                 1.9309,                 2.5928,                  2.205,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.7582,                 2.1729,                 1.9129,                0.40441,                0.39208,                0.34965,                0.22689,                 1.8844,                 2.4081,                 2.0754,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.6954,                 2.1114,                 1.8869,                0.46067,                0.37366,                0.37357,                0.24376,                 1.8391,                 2.2741,                 2.0641,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.6439,                 1.9709,                 1.8164,                0.45805,                0.40913,                0.40853,                0.26622,                 1.8145,                 2.1035,                 2.0218,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.6701,                 1.9933,                 1.8358,                0.55107,                0.41653,                0.42734,                0.27054,                 1.6988,                 2.0056,                 1.8542,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.6148,                 1.9654,                 1.7892,                0.49774,                0.39715,                0.39254,                0.25889,                 1.7871,                 2.5202,                 1.9474,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.6012,                 1.9439,                 1.7696,                0.52552,                0.40413,                0.40392,                0.26516,                 1.8101,                 2.0263,                 1.9614,               0.001337,               0.001337,               0.001337
                     15,                 1.6184,                 1.9404,                 1.8068,                0.45473,                0.35534,                0.35559,                0.21669,                 1.8661,                 2.6954,                 2.0165,                0.00133,                0.00133,                0.00133
                     16,                 1.5629,                 1.8548,                 1.7775,                0.52151,                0.38015,                0.39127,                0.27404,                 1.8014,                 2.3071,                 2.0003,              0.0013229,              0.0013229,              0.0013229
                     17,                 1.5004,                 1.8409,                 1.7092,                0.42999,                0.49434,                0.45938,                0.30643,                 1.5984,                 1.8741,                  1.816,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.5699,                 1.8595,                  1.788,                0.54722,                0.47317,                0.48069,                 0.3223,                 1.6233,                 1.8481,                  1.813,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.5051,                 1.7881,                 1.7245,                0.64787,                0.42868,                0.47697,                0.31456,                 1.6859,                 1.8595,                 1.8913,              0.0013017,              0.0013017,              0.0013017
                     20,                 1.5391,                  1.788,                 1.7349,                0.57815,                 0.4707,                0.49104,                0.32242,                 1.6263,                 1.8424,                 1.7863,              0.0012946,              0.0012946,              0.0012946
                     21,                 1.5174,                 1.8144,                 1.7429,                0.48419,                0.50134,                0.47152,                0.32299,                 1.5588,                 1.8098,                 1.7512,              0.0012875,              0.0012875,              0.0012875
                     22,                 1.4918,                 1.7521,                  1.691,                0.56487,                0.48988,                0.50661,                0.32335,                 1.6148,                 1.7214,                 1.7826,              0.0012805,              0.0012805,              0.0012805
                     23,                 1.5116,                 1.7499,                 1.7256,                0.54063,                0.51194,                0.51477,                0.33669,                  1.606,                 1.6777,                 1.7915,              0.0012734,              0.0012734,              0.0012734
                     24,                 1.4669,                 1.7111,                 1.7056,                0.51764,                0.47775,                0.48284,                0.31657,                  1.662,                 1.8217,                 1.8422,              0.0012663,              0.0012663,              0.0012663
                     25,                 1.5207,                  1.762,                 1.7312,                 0.6021,                0.45622,                0.50145,                0.32124,                 1.6082,                 1.6902,                 1.7868,              0.0012592,              0.0012592,              0.0012592
                     26,                 1.4803,                 1.6894,                 1.6644,                0.58502,                0.49929,                0.50942,                0.33984,                 1.6551,                 1.6981,                 1.8002,              0.0012522,              0.0012522,              0.0012522
                     27,                  1.469,                 1.6863,                  1.686,                0.58432,                   0.46,                 0.4827,                0.30664,                 1.6728,                 1.7538,                 1.8292,              0.0012451,              0.0012451,              0.0012451
                     28,                 1.4512,                 1.6488,                 1.6764,                0.49173,                0.51268,                0.50106,                0.33974,                 1.5561,                 1.6705,                 1.7262,               0.001238,               0.001238,               0.001238
                     29,                 1.4675,                 1.6468,                 1.6769,                0.60607,                0.51493,                0.53514,                0.35069,                  1.594,                 1.6864,                 1.7977,              0.0012309,              0.0012309,              0.0012309
                     30,                 1.4541,                 1.6559,                 1.6602,                0.64674,                0.48815,                0.52607,                0.34941,                 1.5881,                 1.6365,                 1.7606,              0.0012239,              0.0012239,              0.0012239
                     31,                 1.4866,                 1.6909,                 1.6669,                0.60761,                0.51697,                0.54128,                0.34989,                 1.5335,                 1.7348,                 1.7053,              0.0012168,              0.0012168,              0.0012168
                     32,                  1.471,                 1.6064,                 1.6533,                0.61535,                0.53969,                0.55571,                0.37361,                 1.5222,                   1.54,                 1.7341,              0.0012097,              0.0012097,              0.0012097
                     33,                 1.4257,                 1.6134,                 1.6413,                0.63676,                0.48454,                0.51117,                0.34551,                 1.6042,                 1.7908,                 1.8047,              0.0012026,              0.0012026,              0.0012026
