                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
2,1.815,3.0631,1.8623,0.37771,0.03492,0.02144,0.00763,2.1845,                 31.925,2.8085,0.062541,0.0035413,0.0035413
3,1.7691,2.9813,1.8258,0.15441,0.19563,0.10137,0.04098,1.8282,                 3.1288,1.933,0.04372,0.0052918,0.0052918
4,1.7089,2.8334,1.758,0.49685,0.17116,0.09852,0.04223,1.9205,                 6.4727,2.0777,0.024882,0.0070248,0.0070248
5,1.6575,2.7351,1.7406,0.85411,0.14709,0.15775,0.08377,1.9364,                 4.3226,2.1416,0.0085093,0.0085093,0.0085093
6,1.6283,2.6871,1.7105,0.6415,0.2323,0.23604,0.13915,1.5607,                 3.1884,1.6755,0.0084666,0.0084666,0.0084666
7,1.6127,2.6533,1.6788,0.30425,0.3241,0.28969,0.15405,1.523,                 2.2369,1.5968,0.0084239,0.0084239,0.0084239
8,1.5576,2.5223,1.6313,0.24165,0.21572,0.1699,0.08121,1.804,                 3.1288,1.8785,0.0083812,0.0083812,0.0083812
9,1.5325,2.4449,1.6061,0.41495,0.33101,0.32242,0.17112,1.5345,                 2.1427,1.6248,0.0083386,0.0083386,0.0083386
10,1.541,2.4266,1.5947,0.30329,0.26326,0.22377,0.10463,1.6542,                 2.6288,1.7094,0.0082959,0.0082959,0.0082959
11,1.5053,2.381,1.5779,0.45636,0.35269,0.30915,0.17334,1.4459,                 3.0231,1.5027,0.0082532,0.0082532,0.0082532
12,1.4814,2.326,1.5533,0.47785,0.29655,0.27825,0.15236,1.4637,                 2.8117,1.5485,0.0082105,0.0082105,0.0082105
13,1.483,2.2542,1.5524,0.55733,0.30474,0.31164,0.17224,1.5162,                 2.5361,1.5629,0.0081679,0.0081679,0.0081679
14,1.4577,2.2349,1.5306,0.4903,0.3538,0.35178,0.19427,1.4221,                 2.2234,1.4715,0.0081252,0.0081252,0.0081252
15,1.4547,2.1974,1.5165,0.37188,0.3792,0.3173,0.17349,1.4205,                 2.0409,1.4929,0.0080825,0.0080825,0.0080825
16,1.4382,2.1975,1.5093,0.49926,0.38911,0.39512,0.22244,1.3988,                 1.8338,1.463,0.0080398,0.0080398,0.0080398
17,1.4194,2.1253,1.489,0.49491,0.39002,0.38821,0.21667,1.4178,                 1.8731,1.5014,0.0079971,0.0079971,0.0079971
18,1.4026,2.1071,1.4708,0.47767,0.36746,0.35719,0.19876,1.464,                 2.3096,1.5095,0.0079545,0.0079545,0.0079545
19,1.3886,2.0612,1.4684,0.54565,0.4055,0.41933,0.25133,1.3652,                 1.9132,1.4522,0.0079118,0.0079118,0.0079118
20,1.401,2.0578,1.4696,0.43049,0.33509,0.32916,0.18718,1.4724,                 2.3695,1.5338,0.0078691,0.0078691,0.0078691
21,1.3976,2.0462,1.4727,0.48338,0.41428,0.42058,0.24074,1.3272,                  1.694,1.394,0.0078264,0.0078264,0.0078264
22,1.3852,1.9841,1.4481,0.62157,0.36716,0.40963,0.23629,1.3702,                 1.8231,1.4253,0.0077837,0.0077837,0.0077837
23,1.3749,1.9916,1.4378,0.55765,0.39166,0.38305,0.21679,1.4261,                 2.0611,1.4523,0.0077411,0.0077411,0.0077411
24,1.3631,1.9579,1.4412,0.49931,0.40221,0.42269,0.24413,1.3147,                 1.7231,1.3591,0.0076984,0.0076984,0.0076984
25,1.3372,1.8942,1.405,0.53086,0.43686,0.45355,0.24486,1.3665,                 1.6715,1.4086,0.0076557,0.0076557,0.0076557
26,1.3503,1.9357,1.42,0.50308,0.42321,0.42503,0.2504,1.3178,                 1.6947,1.3488,0.007613,0.007613,0.007613
27,1.3438,1.9299,1.4219,0.49689,0.43705,0.44617,0.26499,1.2822,                 1.6217,1.3303,0.0075703,0.0075703,0.0075703
28,1.3402,1.8653,1.4091,0.45463,0.42884,0.42012,0.2597,1.2829,                 1.9194,1.345,0.0075277,0.0075277,0.0075277
29,1.3193,1.8365,1.3967,0.56364,0.41799,0.4547,0.27379,1.269,                   1.63,1.3406,0.007485,0.007485,0.007485
30,1.3187,1.8452,1.3852,0.59486,0.41817,0.45246,0.25451,1.364,                 1.8338,1.38,0.0074423,0.0074423,0.0074423
31,1.3179,1.8351,1.3921,0.45281,0.4597,0.42051,0.24793,1.3151,                 1.8701,1.3405,0.0073996,0.0073996,0.0073996
32,1.3043,1.8193,1.3795,0.58261,0.46599,0.49045,0.28783,1.2829,                 1.5413,1.3347,0.0073569,0.0073569,0.0073569
33,1.2808,1.7651,1.3687,0.66459,0.44237,0.49443,0.31101,1.148,                 1.4973,1.2483,0.0073143,0.0073143,0.0073143
34,1.2954,1.792,1.3748,0.51533,0.46707,0.48711,0.29489,1.2265,                 1.5106,1.3082,0.0072716,0.0072716,0.0072716
35,1.2815,1.745,1.3668,0.52259,0.46078,0.48537,0.29762,1.2378,                 1.5741,1.3202,0.0072289,0.0072289,0.0072289
36,1.286,1.7347,1.3615,0.65318,0.45361,0.49334,0.29012,1.2591,                 1.4659,1.3071,0.0071862,0.0071862,0.0071862
37,1.2578,1.7087,1.3511,0.51121,0.48804,0.49188,0.30548,1.2057,                 1.4927,1.2745,0.0071436,0.0071436,0.0071436
38,1.2571,1.6972,1.3387,0.545,0.4999,0.50974,0.31279,1.1677,                 1.4588,1.2506,0.0071009,0.0071009,0.0071009
39,1.2767,1.6959,1.3576,0.50896,0.49134,0.47851,0.28953,1.2179,                 1.5468,1.2906,0.0070582,0.0070582,0.0070582
40,1.2819,1.7198,1.3472,0.56992,0.45812,0.48119,0.30213,1.1884,                 1.6673,1.2562,0.0070155,0.0070155,0.0070155
41,1.246,1.6641,1.3412,0.54588,0.49112,0.51233,0.31905,1.1548,                 1.4191,1.2457,0.0069728,0.0069728,0.0069728
