                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6868,                 2.6863,                 1.8527,                0.06634,                0.26926,                0.02731,                 0.0101,                 2.1981,                    inf,                 3.0225,             0.00046717,             0.00046717,             0.00046717
                      2,                 1.8709,                 2.3986,                 1.9836,                0.00917,                0.03409,                0.00187,                 0.0006,                 3.9328,                 116.25,                 7.5373,             0.00093417,             0.00093417,             0.00093417
                      3,                 1.9427,                 2.4977,                 2.0951,                0.00582,                0.19761,                0.00324,                0.00106,                 3.4309,                    inf,                 10.328,              0.0013917,              0.0013917,              0.0013917
                      4,                 1.9398,                 2.4508,                 2.0952,                 0.5639,                0.24685,                0.22517,                 0.1327,                 2.2048,                 8.0583,                 2.8547,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.825,                 2.3829,                 2.0191,                0.24154,                0.22504,                0.20139,                0.11592,                 2.1117,                  5.873,                 2.4046,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.8562,                 2.4028,                 1.9962,                0.74487,                0.28086,                0.32037,                0.20136,                 1.9755,                 3.0787,                 2.2877,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.749,                 2.2015,                 1.9147,                0.75633,                0.32068,                0.35783,                0.23617,                  1.921,                 2.6142,                 2.1071,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.8123,                 2.2658,                 1.9533,                0.49184,                0.29143,                0.31816,                0.18834,                 2.0705,                 2.5357,                 2.2473,                0.00133,                0.00133,                0.00133
                      9,                 1.7795,                 2.2072,                 1.9387,                0.34781,                0.32614,                0.30214,                0.20809,                 1.9413,                 2.4529,                 2.2016,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.6981,                 2.1291,                 1.8736,                0.52156,                 0.3927,                 0.4132,                0.26176,                 1.7665,                 2.3405,                 1.9521,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.6428,                 1.9431,                 1.7955,                0.50267,                0.41076,                 0.4178,                0.27061,                 1.7693,                 2.0643,                 1.9851,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.6469,                 1.9913,                 1.8169,                0.48819,                0.40092,                0.40631,                0.26514,                 1.7603,                 2.0011,                 1.9449,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.608,                 1.9368,                 1.7924,                0.48167,                0.43445,                0.42881,                0.27816,                 1.7492,                 1.9716,                 1.9378,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5804,                 1.9041,                 1.7639,                0.50899,                0.43262,                0.44048,                0.29927,                 1.6605,                 1.8732,                 1.8439,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.5882,                 1.8996,                 1.7917,                0.49865,                0.44345,                0.43789,                0.27961,                 1.7043,                 1.9907,                 1.9131,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5516,                 1.8576,                 1.7565,                0.52163,                0.46852,                0.46672,                0.31568,                 1.6638,                   1.82,                  1.839,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.5006,                 1.8405,                 1.7098,                0.43262,                0.44354,                0.42879,                0.28206,                 1.6743,                  2.053,                 1.8801,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.5612,                 1.8689,                  1.772,                0.54769,                0.44056,                0.45418,                0.28926,                 1.6778,                 2.2296,                 1.8687,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4873,                 1.7916,                 1.7129,                0.56484,                0.41588,                0.45443,                0.30003,                 1.6612,                 1.8621,                 1.8481,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.5324,                 1.7769,                 1.7382,                 0.5172,                0.46525,                0.47378,                0.31502,                 1.6039,                 1.8856,                 1.7891,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.5031,                 1.7882,                 1.7323,                0.61167,                0.48486,                0.51439,                0.34253,                 1.5247,                 1.8335,                 1.7304,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4799,                 1.7072,                 1.6825,                0.57084,                0.46761,                0.49837,                0.33404,                 1.5902,                 1.7064,                 1.7887,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4876,                 1.7235,                 1.7127,                0.56189,                0.51081,                0.52074,                0.34395,                 1.5717,                 1.6532,                 1.7664,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.4507,                 1.6824,                 1.6873,                0.57684,                 0.4926,                0.52441,                 0.3606,                 1.5065,                  1.649,                 1.7116,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.5203,                 1.6953,                 1.7238,                0.53888,                0.50094,                0.51852,                0.32767,                 1.6292,                 1.6234,                 1.8082,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.4731,                 1.6424,                 1.6637,                0.57983,                0.51489,                0.53536,                0.36036,                 1.5368,                 1.5678,                 1.7137,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.4341,                 1.6511,                 1.6614,                 0.5818,                0.51249,                 0.5208,                0.33736,                 1.5586,                 1.6649,                 1.7667,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.4304,                 1.6037,                 1.6693,                 0.6065,                0.46965,                0.50331,                0.34907,                 1.5245,                 1.6843,                 1.7572,               0.001047,               0.001047,               0.001047
                     29,                 1.4048,                 1.6097,                 1.6425,                0.63805,                0.51944,                0.55526,                0.37871,                 1.4861,                  1.531,                  1.713,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.4285,                 1.5915,                 1.6431,                0.63792,                0.50047,                0.53205,                0.35597,                 1.5288,                 1.5664,                 1.7293,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.4521,                 1.6201,                  1.649,                0.56569,                0.54172,                0.54681,                 0.3597,                 1.4614,                 1.6561,                 1.6714,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.4241,                 1.5415,                 1.6302,                0.63959,                0.53178,                0.55784,                0.38017,                 1.4604,                 1.5021,                 1.6835,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.3973,                 1.5432,                 1.6274,                0.62586,                0.47728,                 0.5161,                0.34809,                 1.5507,                 1.7253,                 1.7791,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.3459,                 1.5077,                 1.5894,                0.60256,                0.55488,                0.57232,                0.38072,                  1.499,                 1.5206,                 1.7056,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3278,                 1.4331,                 1.5597,                0.58448,                0.54818,                0.55927,                0.37416,                 1.4791,                 1.4534,                 1.6827,               0.000948,               0.000948,               0.000948
                     36,                 1.3151,                  1.435,                  1.572,                0.61852,                0.52849,                0.55971,                0.37936,                 1.5003,                 1.4733,                 1.7138,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.3464,                 1.4517,                 1.5906,                 0.5397,                0.55261,                0.55721,                0.37058,                 1.5083,                 1.5045,                 1.7366,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.3319,                 1.4482,                 1.5743,                0.64167,                0.53825,                0.58406,                 0.3977,                 1.4502,                 1.4037,                 1.6564,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2907,                 1.4201,                 1.5517,                0.53337,                0.56379,                 0.5617,                0.37437,                 1.4522,                 1.4485,                 1.6654,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2898,                 1.3749,                 1.5299,                 0.6407,                 0.5246,                0.56145,                0.37088,                 1.4978,                 1.5088,                 1.7201,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.3473,                 1.4557,                  1.576,                0.64458,                0.56178,                 0.5838,                0.38798,                 1.4772,                 1.4313,                 1.6744,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.2675,                 1.3647,                 1.5379,                0.57868,                0.55679,                0.57693,                0.39509,                 1.4448,                 1.4231,                 1.6604,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2997,                  1.346,                 1.5469,                0.60785,                0.57743,                0.58383,                0.39577,                 1.4191,                 1.3598,                 1.6381,             0.00083482,             0.00083482,             0.00083482
