                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7039,                 2.3385,                 1.9066,                0.28821,                0.23349,                0.11696,                0.04996,                 2.2847,                   5.57,                 2.7694,             0.00047343,             0.00047343,             0.00047343
                      2,                 1.8008,                 2.3034,                 2.0017,                  0.492,                0.20423,                0.19679,                0.11031,                 2.3022,                 6.7299,                 2.8979,             0.00094036,             0.00094036,             0.00094036
                      3,                 1.8085,                    2.3,                  2.004,                0.44669,                0.35246,                0.35033,                0.18645,                 1.9905,                 3.2825,                 2.3547,              0.0013979,              0.0013979,              0.0013979
                      4,                 1.7382,                 2.1976,                 1.9526,                 0.4368,                0.38667,                0.37594,                0.20457,                 1.8961,                 2.6007,                   2.27,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.7034,                 2.1185,                 1.9139,                0.71602,                0.35753,                0.41768,                0.24653,                 1.7586,                 2.1651,                 2.1124,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.6776,                 2.0627,                 1.8975,                0.73513,                0.30282,                 0.3788,                0.22676,                 1.7768,                 3.3034,                 2.1146,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.6056,                 1.9918,                   1.84,                0.51412,                0.47989,                0.47738,                0.26062,                 1.8561,                 2.0912,                 2.1838,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5826,                 1.9277,                 1.8092,                0.50748,                0.45251,                 0.4586,                0.22298,                 1.9106,                 2.0889,                 2.1878,                0.00133,                0.00133,                0.00133
                      9,                  1.594,                 1.9372,                 1.8274,                0.47706,                0.47763,                0.48503,                0.27075,                 1.7903,                 2.0378,                 2.0737,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.5661,                 1.8534,                 1.7863,                  0.463,                0.53518,                0.49037,                0.29736,                 1.6367,                 2.1088,                 1.9772,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.5291,                 1.8115,                  1.772,                0.59815,                 0.5436,                0.54489,                0.27482,                 1.7413,                 1.8265,                 2.0218,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.5053,                 1.7459,                 1.7537,                0.62196,                0.48807,                0.53367,                0.29397,                 1.7155,                 2.0866,                  2.037,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.481,                 1.7209,                 1.7407,                0.63931,                0.52355,                0.56686,                0.30975,                 1.7271,                 1.7842,                  2.045,              0.0012592,              0.0012592,              0.0012592
                     14,                  1.477,                 1.7098,                 1.7467,                0.62951,                0.54764,                0.56741,                0.34357,                 1.5538,                 1.7312,                 1.8872,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.466,                 1.6849,                  1.719,                0.55922,                0.53108,                 0.5372,                0.32781,                 1.5424,                 2.2092,                 1.8872,              0.0012309,              0.0012309,              0.0012309
                     16,                  1.458,                 1.6682,                 1.7202,                0.57886,                0.57233,                0.57346,                0.34226,                 1.6211,                 1.7143,                 1.9365,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.4614,                 1.6566,                 1.7106,                0.63838,                0.54705,                0.53157,                0.33444,                 1.5206,                 2.2114,                 1.8797,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.4396,                 1.6084,                 1.6939,                0.60512,                0.51366,                0.52913,                0.34344,                 1.4925,                 1.7479,                 1.8176,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4454,                 1.5998,                 1.6875,                0.69168,                0.56962,                0.60965,                0.38209,                 1.4874,                 1.5535,                 1.8081,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.4329,                 1.5811,                 1.6961,                0.65849,                0.57631,                0.62218,                0.38923,                 1.4773,                 1.5756,                 1.8082,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.4137,                 1.5582,                 1.6787,                0.58264,                0.53922,                0.56626,                0.35573,                 1.5492,                 1.7527,                 1.8563,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4115,                 1.5593,                 1.6762,                0.67428,                0.56812,                0.61451,                0.39242,                 1.4796,                 1.5819,                 1.8161,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4236,                 1.5437,                 1.6811,                0.72046,                0.52047,                 0.5776,                0.36301,                 1.5215,                 1.6496,                 1.8499,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3944,                 1.4932,                 1.6499,                0.66507,                0.53999,                0.60457,                0.36066,                 1.5493,                 1.5736,                 1.8568,              0.0011036,              0.0011036,              0.0011036
                     25,                  1.401,                 1.4916,                 1.6408,                0.59126,                0.49587,                0.54394,                0.35448,                 1.5335,                 1.7523,                 1.8469,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.3857,                 1.4707,                 1.6502,                0.64402,                0.54986,                0.55652,                0.35744,                 1.4939,                 1.6076,                 1.8408,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.3718,                 1.4796,                 1.6484,                0.64008,                0.55518,                0.59378,                0.37823,                  1.474,                  1.504,                 1.8036,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.3546,                 1.4343,                 1.6378,                0.66531,                0.56768,                0.62887,                0.41732,                 1.3949,                 1.4442,                 1.7944,               0.001047,               0.001047,               0.001047
                     29,                 1.3493,                 1.4305,                 1.6225,                0.65023,                0.56395,                0.60626,                0.39211,                 1.4742,                 1.5372,                 1.7867,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.3248,                 1.3938,                 1.6007,                0.64661,                0.56598,                0.59774,                0.40046,                 1.3579,                  1.497,                 1.7335,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.3258,                 1.3755,                 1.5965,                0.60852,                0.61496,                0.62329,                0.42426,                 1.3414,                 1.4287,                 1.7152,              0.0010046,              0.0010046,              0.0010046
