                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67943,                0.49036,                 1.0965,                0.62951,                0.52856,                0.53555,                 0.3649,                 1.6146,                 1.4358,                 2.0141,             0.00047339,             0.00047339,             0.00047339
                      2,                0.78534,                0.55876,                 1.1624,                0.67566,                0.50385,                0.54031,                0.37034,                 1.6036,                 1.4298,                 1.9679,             0.00093092,             0.00093092,             0.00093092
                      3,                0.79492,                0.57293,                  1.165,                0.60121,                0.50447,                0.49803,                0.34776,                 1.6599,                 1.4894,                 2.0028,              0.0013696,              0.0013696,              0.0013696
                      4,                0.83125,                0.60115,                 1.1865,                0.60636,                0.50362,                0.51789,                0.35224,                 1.6937,                 1.4361,                 2.0231,              0.0013441,              0.0013441,              0.0013441
                      5,                0.82671,                0.59298,                 1.1771,                0.62658,                0.48699,                0.51362,                0.35425,                 1.6528,                 1.5276,                 1.9573,              0.0013158,              0.0013158,              0.0013158
                      6,                0.83457,                0.60822,                 1.1918,                0.57832,                0.52168,                0.51183,                0.33743,                    1.7,                 1.4874,                 2.0347,              0.0012875,              0.0012875,              0.0012875
                      7,                0.82314,                 0.5938,                  1.184,                  0.621,                   0.52,                0.52889,                0.35598,                   1.65,                 1.4695,                 1.9697,              0.0012592,              0.0012592,              0.0012592
                      8,                 0.8286,                0.60428,                 1.1864,                0.65454,                0.49032,                0.52453,                0.35592,                   1.69,                 1.4818,                 1.9886,              0.0012309,              0.0012309,              0.0012309
                      9,                0.81155,                0.58125,                 1.1739,                0.64293,                0.52722,                0.54805,                0.37637,                 1.6092,                 1.4356,                 1.9634,              0.0012026,              0.0012026,              0.0012026
                     10,                0.80875,                0.57778,                 1.1736,                0.64747,                0.51532,                0.54055,                0.36717,                  1.601,                 1.4259,                 1.9377,              0.0011744,              0.0011744,              0.0011744
                     11,                0.82437,                0.59021,                 1.1866,                0.60833,                0.51803,                0.52442,                0.35809,                 1.6646,                 1.5119,                 2.0075,              0.0011461,              0.0011461,              0.0011461
                     12,                0.79543,                0.57183,                 1.1622,                0.64574,                0.54523,                 0.5596,                 0.3787,                 1.6235,                 1.3381,                 1.9668,              0.0011178,              0.0011178,              0.0011178
                     13,                0.79521,                0.56865,                 1.1676,                0.65963,                 0.4978,                0.53245,                 0.3612,                 1.6451,                 1.4298,                 1.9704,              0.0010895,              0.0010895,              0.0010895
                     14,                0.80083,                0.56864,                 1.1636,                0.62168,                0.50481,                0.52505,                0.34938,                  1.678,                  1.481,                  2.021,              0.0010612,              0.0010612,              0.0010612
                     15,                0.78849,                0.55749,                 1.1596,                0.64483,                0.50137,                0.52752,                0.35871,                 1.6341,                 1.4354,                 1.9986,              0.0010329,              0.0010329,              0.0010329
