                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.713,                 2.2883,                 1.9143,                0.32591,                0.38583,                0.33571,                0.17383,                 1.9237,                 10.334,                 2.2325,             0.00047339,             0.00047339,             0.00047339
                      2,                  1.725,                 1.9743,                 1.9118,                0.25325,                0.33234,                0.27287,                0.17935,                 1.6788,                 5.0997,                 1.9211,             0.00094346,             0.00094346,             0.00094346
                      3,                 1.6708,                 1.8547,                 1.8717,                0.46638,                0.44817,                0.43031,                0.25394,                  1.773,                 3.0873,                 2.0126,              0.0014072,              0.0014072,              0.0014072
                      4,                 1.6426,                   1.79,                 1.8344,                0.62897,                0.48514,                0.50491,                0.27473,                 1.7269,                 1.8193,                 1.9178,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.5872,                 1.6706,                 1.8014,                0.65023,                0.45023,                0.48605,                0.25414,                 1.8113,                 1.7882,                 1.9805,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.5377,                 1.6117,                 1.7585,                0.60186,                0.49555,                0.52358,                0.32708,                 1.6332,                 1.6515,                 1.8495,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.5091,                 1.5371,                 1.7368,                0.55535,                0.53516,                 0.5306,                0.33951,                 1.5934,                 1.5715,                 1.8062,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.4938,                 1.4945,                 1.7043,                 0.6065,                0.52231,                0.55659,                0.33296,                 1.6166,                 1.5361,                 1.7887,               0.001363,               0.001363,               0.001363
                      9,                 1.4403,                 1.4391,                 1.6681,                0.60443,                0.50816,                0.53509,                0.30781,                 1.6515,                 1.6551,                 1.7972,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.4148,                 1.3915,                 1.6562,                0.67944,                0.50166,                0.55749,                0.32851,                 1.6866,                 1.5574,                  1.903,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.4257,                 1.3662,                 1.6468,                0.67732,                0.49744,                0.54358,                0.33608,                 1.6093,                 1.5501,                 1.7969,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.3954,                 1.3274,                 1.6293,                0.58921,                0.55095,                  0.554,                0.34782,                 1.5487,                 1.4875,                 1.7537,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.3552,                 1.2707,                 1.6088,                0.64908,                0.52162,                  0.551,                0.35005,                 1.5573,                 1.5451,                 1.7819,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.3772,                 1.2605,                  1.614,                0.61074,                0.54293,                0.55434,                0.34537,                 1.6231,                 1.4891,                 1.8437,              0.0013064,              0.0013064,              0.0013064
