                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.713,                 2.2883,                 1.9143,                0.32591,                0.38583,                0.33571,                0.17383,                 1.9237,                 10.334,                 2.2325,             0.00047339,             0.00047339,             0.00047339
                      2,                 1.7162,                 1.9673,                   1.91,                0.40718,                0.37612,                0.37123,                0.23491,                 1.7651,                  3.548,                 2.0427,             0.00094032,             0.00094032,             0.00094032
                      3,                 1.6607,                 1.8339,                 1.8496,                0.43501,                0.37191,                0.35275,                0.20399,                 1.8528,                 3.2601,                 2.0651,              0.0013978,              0.0013978,              0.0013978
                      4,                  1.629,                 1.8057,                 1.8349,                0.55214,                0.49116,                0.48278,                0.28568,                 1.6864,                 2.0503,                 1.8948,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5893,                 1.6666,                 1.7942,                0.54514,                0.51904,                0.51345,                0.26882,                 1.7762,                 1.7322,                 1.9336,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.534,                 1.6066,                 1.7521,                0.59159,                0.51093,                0.51873,                0.33817,                 1.5806,                 1.6653,                 1.8349,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.5083,                 1.5285,                 1.7292,                0.59272,                0.51352,                0.53898,                0.33586,                 1.5774,                 1.5455,                  1.777,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.4865,                 1.4972,                 1.7131,                0.60372,                0.52916,                0.55228,                0.31954,                 1.6733,                 1.5763,                 1.8527,                0.00133,                0.00133,                0.00133
                      9,                 1.4386,                 1.4375,                 1.6755,                0.62562,                0.53768,                0.56888,                0.33499,                 1.6432,                 1.5164,                 1.7958,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4105,                 1.3844,                 1.6562,                0.65149,                0.50858,                0.53696,                0.32063,                  1.675,                 1.5901,                  1.897,              0.0013017,              0.0013017,              0.0013017
