epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7519,2.3776,1.9847,22.647,20.052,18.655,9.604,2.2606,6.0774,2.6817,47.486,47.486,47.486
2,1.8904,2.4742,2.1158,26.695,33.414,18.062,9.052,2.0942,3.0958,2.3914,94.178,94.178,94.178
3,1.8224,2.3872,2.0529,3.066,35.992,30.179,16.634,2.0886,2.4291,2.2611,13.993,13.993,13.993
4,1.7668,2.2726,2.2009,41.452,42.094,39.052,22.616,1.8736,2.2404,2.1179,13.866,13.866,13.866
5,1.72,2.164,1.9367,46.291,40.956,40.884,23.528,1.8044,2.1952,2.0175,13.724,13.724,13.724
6,1.6634,2.0717,1.8996,49.681,40.101,40.828,22.881,1.8608,2.1276,2.1191,13.583,13.583,13.583
7,1.654,2.0515,1.89,43.086,46.737,44.422,23.723,1.8952,1.9311,2.039,13.441,13.441,13.441
8,1.6117,1.9493,1.851,52.511,48.931,47.298,27.631,1.7669,1.8586,1.939,133,133,133
9,1.5904,1.902,1.8461,4.586,45.039,44.694,2.351,1.8359,1.9934,2.0139,13.158,13.158,13.158
10,1.5796,1.8311,1.8389,49.847,47.479,4.719,27.954,1.7845,1.9564,1.995,13.017,13.017,13.017
11,1.5624,1.8618,1.812,5.183,50.589,49.707,28.485,1.784,2.0376,1.9647,12.875,12.875,12.875
12,1.5378,1.8033,1.7949,57.283,48.762,5.042,29.366,1.6817,2.0674,1.9103,12.734,12.734,12.734
13,1.5269,1.7938,1.7706,6.547,46.486,5.239,30.693,1.7175,1.7616,1.9192,12.592,12.592,12.592
14,1.5364,1.7418,1.7792,62.009,4.875,52.363,29.239,1.7745,1.9136,1.9601,12.451,12.451,12.451
15,1.475,1.7121,1.74,53.764,51.277,50.828,30.912,1.6937,1.866,1.9251,12.309,12.309,12.309
16,1.4862,1.6643,1.7439,60.654,49.738,52.563,28.682,1.7781,1.681,1.9348,12.168,12.168,12.168
17,1.5056,1.6797,1.7612,63.632,53.555,54.879,29.927,1.7657,1.736,1.9147,12.026,12.026,12.026
18,1.4638,1.6432,1.7425,6.105,52.097,56.003,33.285,1.6169,1.6517,1.8336,11.885,11.885,11.885
19,1.4548,1.6188,1.7286,58.362,51.261,54.751,3.165,1.702,1.5806,1.8771,11.744,11.744,11.744
20,1.4628,1.6185,1.73,60.205,54.607,54.688,34.174,1.5938,1.587,1.8074,11.602,11.602,11.602
21,1.4418,1.5671,1.6989,61.205,53.158,55.994,30.061,1.7614,1.6599,1.9276,11.461,11.461,11.461
22,1.4332,1.5412,1.7083,61.021,55.369,56.014,33.096,1.6179,1.574,1.8505,11.319,11.319,11.319
23,1.4325,1.5379,1.698,57.487,55.558,56.574,36.471,1.4937,1.5441,1.7483,11.178,11.178,11.178
24,1.4189,1.5063,1.6998,69.856,52.495,57.723,32.489,1.7137,1.6083,1.8891,11.036,11.036,11.036
25,1.4231,1.5128,1.6987,66.443,49.749,54.375,32.777,1.6236,1.5792,1.8282,10.895,10.895,10.895
26,1.4076,1.4914,1.6845,70.142,52.655,56.915,34.481,1.6205,1.5697,1.8282,10.753,10.753,10.753
27,1.403,1.4785,1.6814,64.725,53.576,57.298,36.099,1.5833,1.5372,1.7913,10.612,10.612,10.612
28,1.4087,1.4753,1.6908,63.597,55.039,57.512,34.911,1.6227,1.578,1.8168,1.047,1.047,1.047
29,1.3817,1.4422,1.6618,61.012,58.567,59.263,37.676,1.543,1.5141,1.7424,10.329,10.329,10.329
30,1.3747,1.4117,1.654,60.711,56.724,5.658,32.942,1.6287,1.5622,1.8238,10.187,10.187,10.187
31,1.3575,1.3901,1.6422,60.643,5.703,56.911,36.635,1.5215,1.5205,1.7566,10.046,10.046,10.046
32,1.3327,1.3632,1.6227,66.676,56.097,56.693,35.561,1.5787,1.4937,1.7774,99.044,99.044,99.044
33,1.3269,1.3515,1.629,62.453,55.505,57.166,36.052,1.5747,1.4833,1.788,97.629,97.629,97.629
34,1.3133,1.3181,1.6076,62.501,56.564,5.806,36.497,1.5881,1.4392,1.7826,96.215,96.215,96.215
