                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69314,                0.48039,                 1.1023,                0.61352,                0.56468,                0.54535,                0.37144,                 1.5939,                  1.369,                 1.9825,             0.00047339,             0.00047339,             0.00047339
                      2,                0.70914,                0.42295,                  1.113,                 0.6317,                0.53087,                0.52481,                0.36489,                 1.6668,                 1.5094,                 2.0381,             0.00086425,             0.00086425,             0.00086425
                      3,                0.75362,                0.46177,                 1.1494,                0.61172,                0.53997,                0.54767,                0.37239,                 1.6336,                   1.44,                 1.9743,              0.0011694,              0.0011694,              0.0011694
                      4,                0.77998,                0.47255,                 1.1652,                0.60726,                0.52307,                0.53179,                 0.3691,                 1.6165,                 1.4244,                 1.9774,              0.0010432,              0.0010432,              0.0010432
                      5,                0.73926,                0.45018,                 1.1334,                0.71876,                0.48521,                0.55003,                0.37596,                 1.6269,                 1.4269,                 1.9912,             0.00091456,             0.00091456,             0.00091456
                      6,                0.71412,                0.43645,                 1.1185,                0.62592,                0.52267,                0.54528,                0.38001,                 1.6022,                  1.408,                 1.9681,             0.00078595,             0.00078595,             0.00078595
                      7,                0.70007,                0.41286,                 1.1116,                 0.6691,                0.49604,                0.54193,                0.38572,                 1.5617,                 1.4128,                 1.9514,             0.00065734,             0.00065734,             0.00065734
                      8,                0.67374,                 0.3986,                 1.0843,                0.57903,                0.54866,                0.53886,                0.38154,                 1.5978,                 1.4685,                 1.9507,             0.00052873,             0.00052873,             0.00052873
                      9,                0.66773,                 0.3835,                 1.0865,                0.64206,                0.52253,                 0.5488,                0.37888,                 1.6275,                 1.4337,                 1.9929,             0.00040012,             0.00040012,             0.00040012
                     10,                0.63137,                0.36606,                 1.0627,                0.67429,                0.51872,                0.55307,                0.38193,                 1.6062,                  1.428,                 2.0152,             0.00027151,             0.00027151,             0.00027151
                     11,                0.61796,                0.35645,                 1.0512,                0.62856,                0.54165,                0.55089,                0.38055,                 1.5652,                 1.4626,                 1.9473,              0.0001429,              0.0001429,              0.0001429
