                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8327,                 3.2603,                 1.9523,                0.73966,                 0.0836,                0.05311,                 0.0205,                  2.208,                 8.6628,                 2.5695,               0.081282,              0.0017792,              0.0017792
                      2,                 1.7281,                 3.0813,                 1.8676,                 0.7826,                0.12948,                 0.1134,                0.04887,                 1.8583,                 7.5829,                  2.315,               0.062469,              0.0035499,              0.0035499
                      3,                 1.6763,                 2.8898,                 1.7916,                0.60076,                0.23254,                 0.2363,                0.12469,                 1.6923,                   3.21,                 1.8563,               0.043641,              0.0053046,              0.0053046
                      4,                 1.6307,                 2.7768,                 1.7409,                0.52025,                0.24453,                0.25381,                0.12936,                 1.5419,                 3.5708,                 1.7892,               0.024796,              0.0070433,              0.0070433
                      5,                 1.5819,                 2.6446,                 1.6984,                0.44334,                0.30017,                0.24482,                0.13339,                 1.5008,                 2.9111,                  1.694,              0.0085248,              0.0085248,              0.0085248
                      6,                 1.5475,                 2.5312,                 1.6611,                0.53271,                0.32272,                0.28455,                0.15089,                 1.4753,                 2.8415,                 1.6224,               0.008486,               0.008486,               0.008486
                      7,                  1.495,                 2.4156,                 1.6008,                0.60539,                0.34592,                0.35804,                0.21279,                  1.328,                 2.3621,                 1.4817,              0.0084472,              0.0084472,              0.0084472
                      8,                 1.4856,                 2.3265,                 1.5779,                0.42855,                 0.3789,                0.34009,                0.19245,                  1.341,                  2.356,                 1.4662,              0.0084084,              0.0084084,              0.0084084
                      9,                 1.4607,                 2.2935,                 1.5529,                0.39213,                0.38961,                0.34039,                0.18403,                  1.386,                 2.1933,                 1.5189,              0.0083696,              0.0083696,              0.0083696
                     10,                 1.4396,                 2.2337,                 1.5459,                0.63028,                0.39543,                0.41413,                0.23562,                 1.3117,                 1.8409,                 1.4543,              0.0083308,              0.0083308,              0.0083308
                     11,                 1.4108,                 2.1716,                 1.5145,                0.54139,                0.39268,                0.39867,                 0.2466,                   1.31,                 1.9649,                 1.4591,               0.008292,               0.008292,               0.008292
                     12,                 1.4058,                 2.1276,                 1.5007,                0.47435,                0.42157,                0.41484,                0.24467,                 1.2939,                 1.7758,                 1.4215,              0.0082532,              0.0082532,              0.0082532
                     13,                  1.377,                 2.0665,                 1.4794,                0.48543,                0.39805,                0.40091,                0.24745,                 1.2532,                 1.9865,                 1.3614,              0.0082144,              0.0082144,              0.0082144
                     14,                 1.3853,                 2.0587,                 1.4767,                0.52175,                0.38943,                0.42084,                0.26497,                 1.2632,                 1.8367,                 1.4003,              0.0081756,              0.0081756,              0.0081756
                     15,                 1.3468,                 2.0008,                 1.4549,                0.67419,                 0.4098,                0.44365,                 0.2648,                 1.2681,                 1.9122,                   1.38,              0.0081368,              0.0081368,              0.0081368
                     16,                 1.3343,                 1.9647,                 1.4449,                0.52963,                0.43932,                0.45399,                0.27763,                 1.2259,                 1.6372,                   1.36,               0.008098,               0.008098,               0.008098
                     17,                 1.3226,                 1.9128,                 1.4335,                0.52649,                0.46782,                0.48078,                0.28897,                 1.2204,                   1.54,                  1.351,              0.0080592,              0.0080592,              0.0080592
                     18,                 1.3108,                 1.8925,                 1.4143,                0.59993,                0.44937,                0.46368,                0.29514,                 1.1472,                 1.7002,                 1.2819,              0.0080204,              0.0080204,              0.0080204
                     19,                 1.3088,                 1.8657,                 1.4109,                0.60551,                0.45148,                 0.4811,                 0.3053,                 1.1543,                 1.4888,                 1.2926,              0.0079816,              0.0079816,              0.0079816
                     20,                 1.2736,                 1.8205,                 1.3964,                0.50052,                0.45479,                0.46282,                0.26877,                 1.2414,                 1.6642,                 1.3326,              0.0079428,              0.0079428,              0.0079428
                     21,                 1.2773,                 1.7896,                 1.3886,                0.53486,                0.46692,                0.46998,                0.28889,                 1.1839,                 1.6092,                 1.3183,               0.007904,               0.007904,               0.007904
                     22,                 1.2653,                 1.7694,                 1.3768,                0.61994,                0.47287,                0.49642,                0.30433,                 1.1831,                 1.4856,                 1.3026,              0.0078652,              0.0078652,              0.0078652
                     23,                 1.2486,                 1.7235,                 1.3558,                0.56619,                0.50984,                0.52534,                0.32401,                 1.1689,                 1.4077,                  1.288,              0.0078264,              0.0078264,              0.0078264
                     24,                 1.2392,                  1.695,                 1.3577,                0.55649,                0.47883,                0.49048,                 0.3021,                  1.139,                 1.6172,                 1.2721,              0.0077876,              0.0077876,              0.0077876
